Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Long,itude:,52.5500 -97.,6390,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2016001,10.111,146.296,-8.614,0.844,0,198.669,986.322,0
2016002,10.516,130.99,-5.274,0.856,0,248.602,984.807,0
2016003,5.836,128.259,-10.505,0.901,0,200.184,997.6,0
2016004,8.674,358.187,-9.738,0.857,0,203.708,993.308,0
2016005,6.909,136.709,-13.113,0.854,0,187.274,985.664,0
2016006,3.621,175.996,-9.121,0.833,0,259.645,994.541,0.00002
2016007,4.088,254.28,-11.803,0.813,0,256.083,994.19,0.00005
2016008,9.677,166.342,-20.092,0.749,0,210.793,995.422,0
2016009,8.731,159.895,-21.596,0.692,0,208.857,998.78,0
2016010,3.75,90.256,-22.907,0.77,0,171.576,992.505,0
2016011,3.871,140.62,-21.409,0.689,0,217.091,985.444,0.00001
2016012,6.404,120.365,-20.474,0.769,0,194.369,989.327,0
2016013,1.337,116.899,-23.724,0.781,0,152.922,983.398,0
2016014,2.526,93.971,-23.076,0.794,0,171.252,978.173,0
2016015,6.347,167.85,-23.396,0.726,0,146.303,987.938,0
2016016,9.678,161.008,-21.953,0.681,0,212.795,992.311,0
2016017,4.604,132.967,-21.138,0.719,0,212.297,995.643,0.00001
2016018,2.288,95.427,-25.929,0.76,0,149.832,1000.288,0
2016019,7.34,337.822,-22.126,0.774,0,163.611,998.989,0
2016020,3.273,5.421,-14.616,0.823,0,242.607,990.01,0.00008
2016021,3.957,150.057,-15.186,0.831,0,224.762,1002.535,0.00002
2016022,9.33,356.142,-16.194,0.828,0,218.198,998.816,0
2016023,5.284,320.388,-5.089,0.923,0,293.912,976.869,0.00024
2016024,2.956,261.38,-9.642,0.848,0,260.155,988.491,0
2016025,4.45,128.622,-8.561,0.894,0,253.134,985.051,0
2016026,3.277,152.333,-17.69,0.824,0,170.6,992.235,0
2016027,3.753,336.702,-4.18,0.939,0,292.638,969.223,0.00038
2016028,2.748,217.507,-20.265,0.781,0,164.774,990.069,0
2016029,11.151,344.741,-6.732,0.878,0,285.44,965.75,0.00018
2016030,10.132,133.319,-3.439,0.883,0,289.39,961.189,0.00002
2016031,4.274,174.702,-16.513,0.845,0,181.702,977.813,0
2016032,3.207,176.13,-12.732,0.778,0,248.142,988.184,0.00002
2016033,2.692,48.548,-16.459,0.829,0,207.609,996.892,0.00001
2016034,6.765,332.942,-12.992,0.83,0,255.987,989.636,0.0001
2016035,4.425,137.873,-20.553,0.804,0,157.358,991.451,0
2016036,1.498,354.118,-21.08,0.879,0,166.505,995.732,0
2016037,8.458,295.78,-13.734,0.8,0,261.496,985.196,0.00015
2016038,8.513,181.848,-10.114,0.843,0,265.817,977.695,0.0001
2016039,9.812,159.704,-15.927,0.769,0,187.658,998.634,0.00001
2016040,4.878,181.251,-23.928,0.792,0,146.929,1001.895,0
2016041,3.149,313.083,-20.802,0.678,0,209.188,996.53,0
2016042,4.953,137.618,-25.427,0.776,0,146.856,998.277,0
2016043,7.735,152.241,-28.044,0.686,0,128.118,1009.522,0
2016044,5.309,355.985,-25.818,0.73,0,142.89,1005.903,0
2016045,9.166,358.738,-13.226,0.83,0,257.978,980.59,0.00014
2016046,5.515,143.243,-11.075,0.872,0,209.626,974.65,0
2016047,5.192,161.924,-23.95,0.772,0,146.61,991.083,0
2016048,8.371,352.424,-16.486,0.776,0,232.811,989.714,0.00004
2016049,7.112,334.98,-6.261,0.929,0,271.617,981.226,0
2016050,3.98,286.23,-4.349,0.941,0,276.707,966.796,0
2016051,10.914,164.875,-13.983,0.719,0,176.935,986.865,0
2016052,5.427,74.414,-19.633,0.78,0,156.759,1000.127,0
2016053,5.054,331.426,-12.851,0.856,0,257.72,990.171,0.00001
2016054,2.433,174.308,-13.013,0.868,0,225.295,990.922,0
2016055,3.388,332.766,-13.313,0.884,0,213.636,991.526,0
2016056,3.768,123.059,-17.818,0.85,0,179.741,1000.326,0
2016057,6.48,96.761,-8.737,0.896,0,209.548,983.198,0
2016058,9.311,209.106,-12.597,0.655,0,233.22,981.892,0
2016059,2.418,148.484,-17.386,0.683,0,228.033,984.545,0
2016060,8.06,123.061,-25.14,0.669,0,141.234,993.976,0
2016061,5.948,106.26,-22.203,0.715,0,149.719,994.301,0
2016062,2.701,253.226,-24.158,0.716,0,152.165,992.439,0
2016063,1.215,75.016,-25.827,0.84,0,151.443,996.009,0
2016064,6.005,321.802,-13.388,0.801,0,232.157,988.012,0
2016065,4.226,1.584,-10.578,0.913,0,216.458,990.355,0.00001
2016066,0.614,327.376,-4.094,0.968,0,293.934,971.679,0
2016067,7.512,254.536,-7.073,0.847,0,283.462,984.794,0
2016068,5.222,207.203,-3.086,0.931,0,299.489,979.86,0.00134
2016069,0.307,290.693,-17.161,0.849,0,197.158,989.456,0
2016070,1.795,17.099,-13.596,0.959,1,204.749,991.703,0
2016071,9.956,25.76,1.877,0.969,2.25,329.938,977.146,0.00101
2016072,4.135,103.977,-6.988,0.925,8,225.029,989.212,0
2016073,10.527,340.097,1.865,0.908,8.25,310.982,974.759,0
2016074,7.991,49.687,-1.858,0.734,16,218.565,970.875,0
2016075,13.353,264.3,-1.794,0.903,23.5,232.009,977.418,0
2016076,1.097,129.649,-2.04,0.967,16,307.234,980.798,0.00018
2016077,7.162,245.529,-8.096,0.726,31.25,206.794,990.626,0
2016078,4.861,269.816,-11.861,0.813,33.5,188.986,1000.218,0
2016079,5.327,106.352,-9.776,0.866,37.75,207.548,1000.66,0
2016080,4.825,194.352,-13.878,0.81,44,175.929,1002.213,0
2016081,2.916,240.115,-11.299,0.717,36.75,231.898,995.272,0
2016082,3.661,212.915,-12.835,0.66,66.25,208.269,991.271,0
2016083,0.862,91.302,-16.858,0.732,59,194.778,998.258,0
2016084,4.199,78.471,-5.592,0.847,49,252.714,985.228,0
2016085,7.537,177.714,-14.45,0.85,72,172.858,989.149,0
2016086,4.108,1.535,-15.293,0.854,73.5,200.144,996.302,0
2016087,1.768,317.808,-10.186,0.954,74,221.335,987.617,0
2016088,1.227,238.746,-11.185,0.905,86.75,205.607,994.628,0
2016089,5.521,36.601,-3.969,0.839,74.25,245.924,991.066,0
2016090,2.688,201.352,-7.525,0.901,97.25,217.857,983.597,0
2016091,4.664,177.18,-1.548,0.929,59.5,297.322,981.531,0
2016092,5.091,138.375,-17.405,0.764,115.5,162.564,990.774,0
2016093,5.756,168.686,-15.291,0.701,98.25,195.153,990.795,0
2016094,5.411,234.751,-9.721,0.751,65.75,254.547,986.987,0.00012
2016095,1.641,181.353,-17.616,0.689,133,166.922,1001.248,0
2016096,5.778,326.112,-6.393,0.74,84.75,278.069,991.68,0.00004
2016097,5.386,275.033,-8.236,0.812,117,234.518,988.757,0
2016098,9.038,159.952,-5.113,0.872,154.25,268.821,987.095,0.00002
2016099,7.37,175.095,-15.664,0.714,160.75,160.552,1000.13,0
2016100,9.398,332.075,-10.994,0.736,128.25,256.625,988.699,0
2016101,6.541,203.78,-4.31,0.884,92.5,284.968,976.137,0.00009
2016102,7.936,170.366,-15.755,0.793,177.5,166.966,996.277,0
2016103,8.368,334.836,-8.277,0.745,125.75,260.436,993.895,0
2016104,5.426,356.989,-3.339,0.842,178.25,234.128,990.504,0
2016105,10.819,339.418,2.73,0.86,138.5,300.549,981.907,0
2016106,5.309,208.727,1.389,0.927,57.75,304.824,988.934,0.00025
2016107,6.78,213.809,-3.763,0.852,146.25,260.64,1003.236,0
2016108,5.031,227.742,-2.388,0.765,175.75,236.05,1008.714,0
2016109,0.745,352.653,-5.068,0.807,212.75,223.129,1008.532,0
2016110,5.172,2.764,3.421,0.786,212.75,250.185,1000.642,0
2016111,8.84,42.441,5.393,0.933,155,321.973,983.772,0
2016112,5.793,244.811,-4.943,0.678,226.5,198.907,999.267,0
2016113,2.155,179.369,-3.423,0.665,214.25,217.186,999.17,0
