Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Long,itude:,52.5500 -97.,6390,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2017001,4.161,110.421,-17.792,0.752,0,178.964,985.434,0.00001
2017002,2.103,121.341,-23.458,0.757,0,149.023,1002.281,0
2017003,6.695,168.637,-23.798,0.745,0,199.253,1002.481,0
2017004,4.246,146.167,-20.846,0.689,0,213.844,994.942,0.00001
2017005,7.343,127.18,-20.692,0.727,0,211.379,991.907,0
2017006,5.689,122.186,-20.424,0.759,0,157.757,989.928,0
2017007,6.288,97.402,-20.128,0.792,0,168.614,1002.796,0
2017008,6.951,37.848,-15.544,0.744,0,234.467,994.863,0.00009
2017009,2.791,44.613,-24.467,0.778,0,167.174,994.507,0
2017010,3.08,175.013,-18.52,0.751,0,228.227,977.142,0.00004
2017011,8.772,125.012,-23.301,0.61,0,189.243,980.266,0
2017012,11.405,179.333,-23.541,0.735,0,211.446,982.811,0.00002
2017013,7.589,356.273,-26.44,0.707,0,152.698,1005.282,0
2017014,4.973,59.645,-17.984,0.763,0,179.071,999.073,0
2017015,6.524,56.766,-10.209,0.781,0,208.757,983.532,0
2017016,0.542,147.407,-12.927,0.912,0,224.271,989.593,0
2017017,9.264,15.137,-4.673,0.807,0,227.314,979.003,0
2017018,3.057,11.626,-0.878,0.899,0,294.812,974.413,0
2017019,6.134,21.102,-3.243,0.909,0,242.051,969.272,0
2017020,6.906,331.553,-5.261,0.911,0,245.422,971.538,0
2017021,6.435,306.463,0.375,0.979,0,314.334,971.657,0.00005
2017022,1.605,266.164,-4.855,0.989,0,262.926,979.662,0
2017023,0.568,247.555,-1.276,0.984,0,311.004,979.824,0.00002
2017024,3.329,178.92,-1.861,0.974,0,301.99,981.317,0.00015
2017025,8.009,152.956,-8.147,0.87,0,269.295,988.852,0.00001
2017026,3.807,114.01,-12.045,0.826,0,238.167,988.569,0.00001
2017027,8.297,128.18,-8.618,0.874,0,203.599,982.194,0
2017028,2.744,160.199,-11.731,0.835,0,233.143,986.985,0
2017029,2.605,184.386,-20.786,0.802,0,167.228,991.765,0
2017030,4.224,310.884,-8.526,0.876,0,277.849,973.532,0
2017031,11.378,169.728,-14.764,0.769,0,224.312,982.981,0
2017032,8.139,119.149,-21.699,0.725,0,142.615,992.138,0
2017033,10.173,120.84,-20.619,0.717,0,189.118,997.027,0
2017034,6.416,112.092,-16.739,0.815,0,208.579,995.539,0.00001
2017035,2.264,235.258,-15.626,0.848,0,221.215,986.349,0
2017036,3.759,104.104,-25.495,0.771,0,141.944,991.907,0
2017037,3.739,161.951,-25.953,0.74,0,150.983,991.43,0
2017038,2.984,179.98,-22.809,0.718,0,200.767,991.44,0.00002
2017039,7.191,85.956,-22.465,0.748,0,181.229,986.671,0
2017040,6.757,73.346,-18.935,0.759,0,185.762,986.752,0.00001
2017041,6.793,270.47,-12.673,0.838,0,260.343,969.796,0.00037
2017042,5.197,308.904,-17.184,0.789,0,179.306,984.255,0
2017043,8.43,112.857,-12.594,0.823,0,182.117,989.515,0
2017044,7.523,80.956,-5.845,0.85,0,228.421,978.547,0
2017045,12.052,158.564,-11.791,0.773,0,178.403,989.637,0
2017046,9.551,328.261,-10.413,0.803,0,277.83,985.944,0
2017047,7.56,352.345,-6.483,0.891,0,235.836,970.464,0
2017048,7.116,346.199,-1.712,0.936,0,255.629,962.472,0
2017049,10.101,98.896,-0.332,0.888,0,251.558,970.861,0
2017050,1.337,241.103,-12.768,0.968,0,203.177,988.576,0
2017051,6.062,303.534,0.92,0.958,0,321.3,976.312,0.00002
2017052,6.046,86.293,-1.414,0.923,0,294.092,977.313,0.00001
2017053,6.531,129.401,-8.09,0.911,0,202.294,982.102,0
2017054,5.76,147.459,-18.515,0.746,0,163.407,992.931,0
2017055,2.017,167.777,-19.682,0.748,0,179.845,997.784,0
2017056,2.8,69.328,-16.149,0.848,0,218.269,987.1,0.00003
2017057,3.069,71.216,-16.53,0.792,0,211.241,979.791,0.00002
2017058,4.036,181.959,-16.902,0.76,0,217.943,986.033,0
2017059,5.527,350.93,-20.705,0.79,0,158.882,990.149,0
2017060,5.446,96.252,-13.887,0.77,0,207.304,989.797,0.00001
2017061,4.526,124.212,-27.76,0.711,0,131.011,1005.484,0
2017062,6.91,336.264,-21.05,0.719,0,159.401,1000.759,0
2017063,13.136,346.408,-8.834,0.86,0,213.832,986.789,0
2017064,3.177,25.115,-2.615,0.958,0,303.363,979.371,0
2017065,9.234,269.523,-0.828,0.894,0,303.724,969.942,0.00002
2017066,18.666,120.493,-8.944,0.868,0,284.19,949.812,0.00086
2017067,19.995,146.726,-17.579,0.69,0,224.488,978.114,0.0001
2017068,9.94,147.852,-27.272,0.637,0,119.861,1003.701,0
2017069,5.754,122.257,-28.437,0.627,0,122.631,1014.657,0
2017070,3.743,160.373,-27.563,0.711,1.25,142.722,1014.709,0
2017071,0.801,199.591,-28.615,0.766,5,139.149,1009.055,0
2017072,3.145,60.313,-23.285,0.733,9,156.993,1010.023,0
2017073,5.872,351.264,-20.592,0.775,12.5,156.314,1004.379,0
2017074,7.439,347.159,-12.781,0.836,15.25,203.736,995.015,0
2017075,10.925,333.801,-5.185,0.881,18.75,265.74,983.837,0
2017076,13.438,184.166,-2.639,0.886,14,292.785,984.871,0.00009
2017077,4.06,284.751,-16.826,0.755,29,177.589,1002.673,0
2017078,13.508,3.667,-0.308,0.865,31.75,256.458,973.49,0
2017079,5.265,150.382,-9.153,0.797,31.5,227.672,991.018,0
2017080,5.186,153.45,-22.466,0.733,45.5,143.707,1010.289,0
2017081,7.638,344.761,-12.63,0.678,42.75,242.722,1002.847,0
2017082,10.774,1.576,-3.945,0.88,51,229.34,977.403,0
2017083,6.007,218.724,-12.011,0.827,58,192.895,997.823,0
2017084,8.931,319.648,-3.789,0.803,43.75,278.229,993.145,0.00003
2017085,4.836,111.68,-8.61,0.912,69,207.159,987.599,0
2017086,3.212,197.017,-10.111,0.908,73.75,208.737,992.156,0
2017087,3.962,246.116,-10.949,0.852,80,204.25,1000.213,0
2017088,7.174,317.429,-1.562,0.92,58.5,297.065,995.727,0.00001
2017089,2.868,78.772,1.499,0.999,62.75,326.615,982.474,0.00002
2017090,3.202,201.917,-1.062,0.928,96,260.612,994.248,0
2017091,1.708,11.686,-7.564,0.965,97,226.412,995.712,0
2017092,10.793,335.357,2.361,0.932,95.25,313.8,973.127,0.00003
2017093,5.982,111.687,-2.17,0.871,113.75,230.375,981.105,0
2017094,5.755,175.353,-5.37,0.884,121,209.204,988.567,0
2017095,3.759,165.462,-4.589,0.795,127.5,210.317,994.76,0
2017096,4.214,7.115,-2.096,0.85,132.5,219,999.112,0
2017097,11.054,354.656,1.853,0.791,122.5,254.836,982.297,0
2017098,8.446,352.806,3.548,0.913,45.25,343.362,968.556,0.00044
2017099,12.386,168.76,-8.058,0.789,133.5,249.36,983.735,0.00004
2017100,2.078,239.802,-6.974,0.591,160,189.475,1001.298,0
2017101,5.084,357.68,-2.21,0.712,141.25,223.875,995.619,0
2017102,1.802,240.17,0.249,0.731,166.5,226.313,997.123,0
2017103,3.656,285.546,1.19,0.705,128.75,266.24,1001.376,0
2017104,10.138,270.429,2.512,0.707,81,303.229,990.266,0
2017105,5.929,223.558,0.304,0.948,58.75,313.306,981.919,0
2017106,9.027,252.711,-4.607,0.821,172.25,264.248,988.29,0
2017107,2.837,167.209,-5.081,0.715,194.5,210.177,999.762,0
2017108,2.888,329.594,-0.318,0.844,99.5,282.299,990.466,0.00002
2017109,4.504,333.075,0.096,0.777,141,264.135,994.924,0
2017110,2.214,228.34,1.5,0.945,93.5,303.56,992.29,0.00005
2017111,5.011,9.493,-0.055,0.984,167.5,267.525,996.243,0.00002
2017112,8.133,194.896,-5.608,0.831,197,212.219,1001.58,0
2017113,0.782,223.028,-5.865,0.65,234,190.889,1001.004,0
2017114,6.352,263.569,-4.401,0.665,136.5,269.668,993.328,0.00001
2017115,8.432,216.522,-5.777,0.701,242,196.073,993.606,0
2017116,6.139,255.129,-6.137,0.722,249.5,192.461,995.937,0
2017117,6.637,223.294,-4.358,0.671,271.25,197.431,987.375,0
2017118,7.176,181.6,-2.401,0.726,219.5,218.752,989.046,0
2017119,1.276,255.026,-0.076,0.733,260.5,221.795,999.733,0
2017120,1.321,101.291,0.583,0.901,260.5,240.347,992.896,0.00001
2017121,4.851,282.915,7.496,0.762,149,301.995,983.845,0
2017122,6.732,285.668,5.357,0.812,121.25,309.394,985.595,0
2017123,3.713,86.255,6.543,0.815,196.75,274.259,989.036,0
2017124,5.327,305.373,5.016,0.751,124,305.408,993.026,0
2017125,4.761,202.934,7.984,0.767,196.5,294.559,987.991,0
2017126,8.488,288.818,4.51,0.822,214.25,267.941,995.407,0
2017127,9.33,303.367,5.535,0.626,104.5,318.659,994.512,0
2017128,8.848,308.891,7.384,0.599,67.75,337.36,989.764,0
2017129,7.063,84.11,6.067,0.936,83,326.726,985.006,0
2017130,4.976,173.756,2.719,0.824,168.5,275.8,987.691,0
2017131,5.22,164.773,4.445,0.79,243,271.228,994.236,0
2017132,5.424,160.678,4.73,0.738,301,243.319,994.531,0
2017133,5.399,252.079,4.9,0.86,255.5,271.343,991.856,0
2017134,7.226,270.403,6.572,0.746,110.75,319.42,988.381,0
2017135,3.227,75.809,7.497,0.903,309,264.109,985.173,0
2017136,4.08,246.865,7.127,0.989,30.25,349.795,980.154,0.00073
2017137,7.614,215.619,1.249,0.841,111.25,301.593,989.885,0.00013
2017138,3.319,193.484,4.863,0.538,329.25,228.091,998.126,0
2017139,4.553,10.931,6.412,0.713,331.75,238.142,1001.518,0
2017140,5.875,339.839,8.012,0.738,234,285.541,997.748,0
2017141,1.274,348.374,7.658,0.807,112.75,321.561,991.565,0
2017142,5.253,200.506,7.196,0.856,103.25,325.974,988.498,0.00006
2017143,2.467,197.912,8.281,0.722,333.5,263.077,994.666,0
2017144,8.381,2.173,8.685,0.73,312.5,275.224,980.067,0
2017145,10.751,324.139,8.808,0.781,162,302.269,973.212,0
2017146,6.146,359.995,8.809,0.876,328.5,289.81,971.157,0
2017147,4.79,49.924,8.119,0.963,203.5,338.388,977.577,0.00006
2017148,10.308,143.134,6.893,0.975,59.5,350.435,979.804,0.00098
2017149,10.511,165.552,5.519,0.925,81.25,331.404,985.173,0.00006
2017150,10.526,157.556,6.564,0.877,289.5,270.21,988.342,0
2017151,1.133,256.661,12.762,0.576,281.75,316.49,990.172,0
2017152,4.579,38.115,14.947,0.706,333.25,297.984,986.453,0
2017153,9.024,334.872,15.688,0.699,251.25,338.354,981.595,0
2017154,7.517,83.205,15.981,0.734,333,309.051,978.736,0
2017155,6.071,150.726,14.103,0.972,321.25,322.191,985.01,0
2017156,4.697,306.594,15.059,0.902,337.5,323.496,990.996,0
2017157,8.483,346.243,15.706,0.783,335.75,329.156,987.553,0
2017158,6.786,170.945,14.108,0.835,280.5,326.102,990.289,0
2017159,6.553,241.373,14.136,0.746,307.75,310.02,991.243,0
2017160,4.99,322.685,14.273,0.745,347.25,296.882,983.423,0
2017161,1.257,300.999,14.013,0.989,179.25,354.219,963.812,0.00001
2017162,3.445,320.645,11.015,0.833,285.75,316.329,977.116,0.00026
2017163,8.326,149.578,12.132,0.72,357.5,272.068,986.143,0
2017164,6.205,295.643,13.518,0.669,357.5,277.492,991.42,0
2017165,10.591,270.153,13.317,0.919,33.5,373.64,975.013,0.00068
2017166,3.062,279.686,13.329,0.981,87,378.411,968.199,0.00016
2017167,8.922,155.984,12.022,0.906,55.25,366.365,973.726,0.00004
2017168,4.167,186.979,10.973,0.879,100.5,357.262,977.428,0
2017169,4.881,225.799,12.098,0.852,115.25,351.625,983.592,0
2017170,3.196,216.213,13.678,0.741,139.5,340.39,985.413,0
2017171,4.928,108.827,13.441,0.889,345.25,294.932,987.842,0
2017172,6.074,338.921,14.298,0.818,268.25,326.269,980.623,0
2017173,9.265,68.954,12.522,0.879,63,363.689,970.88,0.00022
2017174,10.206,139.243,12.263,0.939,98,370.587,979.837,0.00003
2017175,8.137,214.9,11.295,0.703,144.5,332.994,991.938,0
2017176,5.956,147.596,12.936,0.751,334.75,286.172,995.939,0
2017177,4.261,128.929,13.656,0.825,344,290.406,994.05,0
2017178,6.159,7.347,14.282,0.774,342.25,300.885,981.198,0
2017179,7.347,291.416,13.765,0.889,36.75,376.439,975.641,0.00005
2017180,3.571,183.764,12.156,0.985,188.75,370.504,983.581,0.00004
2017181,5.487,146.487,13.059,0.951,73.75,372.972,985.192,0.00022
2017182,5.468,144.138,15.135,0.81,218.75,337.47,984.979,0.00003
2017183,3.741,222.495,15.85,0.79,332.75,305.992,993.058,0
2017184,5.342,327.353,16.986,0.827,214.75,352.878,991.053,0
2017185,6.75,336.711,17.571,0.851,296.25,345.784,982.526,0
2017186,6.822,88.568,17.306,0.75,332.25,307.125,986.221,0
2017187,7.385,149.881,17.036,0.82,321.75,323.523,987.451,0
2017188,2.979,71.338,16.875,0.832,217.5,340.787,992.886,0
2017189,3.101,197.191,16.871,0.835,280,337.116,987.856,0
2017190,2.549,91.285,16.676,0.866,285.75,335.064,986.378,0
2017191,4.254,110.08,17.348,0.788,317.75,319.206,985.356,0
2017192,4.884,260.794,16.542,0.804,116,349.4,984.489,0
2017193,6.13,249.127,14,0.601,325,279.403,993.485,0
2017194,0.523,309.14,16.518,0.763,319.75,299.822,996.216,0
2017195,8.118,34.985,17.194,0.806,215.5,345.12,989.171,0
2017196,6.679,203.748,15.676,0.771,312.75,295.386,996.183,0
2017197,7.953,11.142,17.302,0.781,303,320.619,990.591,0
2017198,7.945,105.521,18.656,0.86,190.25,369.015,976.76,0
2017199,8.121,101.053,16.521,0.806,297.75,315.34,984.848,0
2017200,6.989,36.839,14.986,0.885,57.5,363.294,988.916,0.00021
2017201,7.71,94.282,16.932,0.745,293,314.712,987.054,0
2017202,6.822,273.024,15.453,0.686,251.25,304.231,987.532,0
2017203,7.619,248.877,15.997,0.703,115,351.362,983.353,0
2017204,0.539,104.385,17.327,0.803,289.75,310.315,988.774,0
2017205,7.206,355.62,17.641,0.845,165.25,378.256,983.902,0.00001
2017206,8.758,30.15,17.245,0.797,280,314.847,978.517,0
2017207,6.545,121.91,17.171,0.867,273,328.856,987.994,0
2017208,3.283,89.853,17.861,0.851,194.25,358.677,992.129,0
2017209,6.818,16.074,18.113,0.823,267,338.65,989.101,0
2017210,4.736,84.487,17.559,0.954,261,350.325,986.565,0
2017211,4.205,28.262,18.688,0.752,261.5,336.969,992.399,0
2017212,4.537,76.783,17.883,0.949,132.75,367.198,986.372,0
2017213,6.626,188.09,17.057,0.895,255.5,326.541,992.866,0.00051
2017214,4.67,238.788,14.484,0.693,250.5,289.654,999.026,0
2017215,5.936,101.67,17.245,0.772,172.5,338.398,995.224,0
2017216,2.065,237.372,16.927,0.88,247.25,320.951,989.638,0
2017217,3.601,241.186,17.084,0.777,249,306.85,991.192,0
2017218,4.169,103.199,17.569,0.773,241.5,319.206,991.715,0
2017219,7.122,82.893,18.012,0.769,208.75,331.667,989.877,0.00001
2017220,0.346,293.196,16.853,0.784,201,316.614,993.953,0
2017221,2.195,204.116,17.074,0.818,235.75,304.422,991.772,0
2017222,0.218,94.927,17.214,0.86,202.75,322.859,994.659,0
2017223,3.503,64.999,17.923,0.767,220.25,323.623,993.65,0
2017224,3.065,68.847,17.789,0.846,220.5,325.582,992.879,0
2017225,2.439,68.849,18.39,0.774,215.25,329.098,988.103,0.00002
2017226,1.32,328.128,17.741,0.864,212.5,331.218,985.784,0
2017227,6.301,335.38,17.795,0.858,158.25,340.773,986.221,0
2017228,6.479,344.21,16.172,0.948,17.5,387.659,985.901,0.00044
2017229,3.053,171.545,17.307,0.875,204.75,317.086,984.414,0
2017230,4.705,122.786,17.283,0.885,198.75,325.312,982.762,0
2017231,4.661,28.976,17.9,0.795,177.5,336.3,979.906,0
2017232,10.435,110.987,16.9,0.704,195.75,302.999,982.19,0.00001
2017233,7.795,62.539,16.45,0.809,188,313.31,985.76,0
2017234,9.009,181.675,14.854,0.819,74.75,369.431,989.156,0.00041
2017235,4.432,320.989,15.393,0.728,84,342.043,993.294,0
2017236,4.991,329.244,16.137,0.621,184.75,286.965,995.642,0
2017237,11.086,341.168,16.584,0.775,171.75,322.633,990.249,0
2017238,5.889,11.078,17.293,0.862,51.75,385.183,990.325,0
2017239,3.593,10.94,17.412,0.85,167.5,314.985,991.364,0
2017240,5.898,63.524,18.406,0.739,156.5,332.533,988.305,0
2017241,3.613,174.632,17.4,0.875,143.75,333.923,989.071,0
2017242,5.4,270.333,14.503,0.771,158.25,292.2,998.478,0
2017243,8.517,329.723,14.054,0.779,103.5,336.669,993.331,0
2017244,7.286,9.016,15.469,0.982,15.5,395.673,981.3,0.00447
2017245,7.097,106.901,14.131,0.807,144.75,299.008,983.451,0
2017246,4.093,124.082,14.114,0.834,66.25,342.21,981.449,0.00002
2017247,10.99,150.768,12.274,0.794,139.25,276.887,985.316,0
2017248,9.777,171.849,11.896,0.691,135.5,274.009,994.383,0.00002
2017249,4.083,94.452,13.233,0.81,107,303.198,994.033,0
2017250,7.832,253.133,11.97,0.854,124.25,290.696,988.731,0.00001
2017251,7.226,14.443,13.008,0.833,121.25,293.015,996.482,0.00001
2017252,10.059,5.384,13.672,0.805,118.5,294.946,991.961,0
2017253,12.117,352.749,15.568,0.876,112.25,316.211,983.52,0
2017254,9.352,85.047,14.453,0.707,111.25,288.866,986.628,0.00003
2017255,4.858,338.298,15.287,0.743,104.5,310.659,980.046,0
2017256,4.203,238.003,13.109,0.781,70.25,323.353,985.693,0
2017257,5.075,246.319,10.377,0.841,84,298.823,987.204,0.00001
