Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Longit,ude:   5,2.5500 -97.6390,,,,,
2008030,11.809,140.436,-26.507,0.658,0,192,985.985,0
2008031,5.107,354.259,-28.338,0.654,0,133.38,995.635,0
2008032,5.737,277.818,-14.819,0.821,0,248.433,977.969,0.00014
2008033,2.006,201.372,-24.537,0.741,0,198.151,993.106,0.00002
2008034,3.337,357.536,-18.843,0.725,0,234.199,988.494,0.00023
2008035,5.649,204.001,-21.664,0.744,0,223.335,994.662,0.00001
2008036,1.209,248.326,-28.209,0.741,0,142.265,1000.151,0
2008037,9.861,343.919,-17.855,0.748,0,202.185,982.659,0
2008038,8.212,94.568,-16.305,0.719,0,162.114,976.545,0
2008039,2.113,189.511,-23.823,0.738,0,171.161,982.605,0
2008040,15.001,143.089,-24.499,0.639,0,201.967,987.152,0.00001
2008041,9.889,145.694,-29.126,0.659,0,161.451,1006.583,0
2008042,7.017,346.085,-26.463,0.626,0,187.641,1000.985,0
2008043,5.325,31.043,-17.302,0.796,0,241.922,986.137,0.00002
2008044,4.553,187.84,-31.205,0.708,0,124.957,992.029,0
2008045,5.418,139.584,-32.591,0.68,0,122.481,997.258,0
2008046,3.262,31.756,-30.266,0.711,0,134.788,1000.268,0
2008047,8.284,2.663,-12.423,0.847,0,271.615,970.606,0.00024
2008048,9.684,168.61,-15.271,0.791,0,232.47,985.114,0.00001
2008049,7.688,160.043,-25.844,0.748,0,139.647,993.68,0
2008050,9.028,184.974,-30.747,0.654,0,121.856,994.672,0
2008051,5.011,46.788,-28.244,0.687,0,139.993,1002.855,0
2008052,4.528,58.114,-18.068,0.722,0,224.517,984.391,0.00002
2008053,5.572,15.66,-17.122,0.832,0,213.239,988.276,0
2008054,1.314,263.451,-17.803,0.897,0,194.759,985.427,0
2008055,6.175,182.144,-12.515,0.883,0,201.582,985.674,0
2008056,4.107,131.543,-17.494,0.825,0,185.775,993.798,0
2008057,3.699,107.827,-17.76,0.847,0,187.679,998.306,0
2008058,3.922,195.462,-21.982,0.813,0,160.235,997.027,0
2008059,7.211,328.137,-13.356,0.768,0,240.914,984.932,0.00003
2008060,14.095,149.28,-16.672,0.713,0,226.246,987.438,0.00001
2008061,8.908,326.792,-13.878,0.749,0,201.687,987.499,0
2008062,11.688,114.427,-7.128,0.805,0,256.445,974.808,0
2008063,7.633,138.425,-24.41,0.678,0,131.447,993.235,0
2008064,5.457,310.751,-19.141,0.597,0,234.11,988.03,0.00004
2008065,5.481,116.447,-24.363,0.725,0,143.862,992.492,0
2008066,5.703,149.578,-29.544,0.7,0,123.763,998.21,0
2008067,5.865,19.9,-23.682,0.64,0,155.973,998.308,0
2008068,2.9,295.504,-12.08,0.839,0,254.702,983.433,0.00002
2008069,2.626,40.928,-19.888,0.821,0,177.386,997.01,0
2008070,4.199,23.393,-7.213,0.873,1.25,254.091,989.109,0
2008071,5.091,187.449,-9.383,0.895,4.25,250.364,986.889,0
2008072,6.818,319.537,-3.554,0.884,6.5,284.76,976.842,0.00006
2008073,7.48,177.961,-2.124,0.955,6.5,303.215,968.939,0.0004
2008074,6.289,176.569,-11.282,0.813,10.75,253.873,985.432,0.00005
2008075,1.684,149.418,-20.312,0.82,20.25,167.034,995.973,0
2008076,5.22,345.434,-12.93,0.765,24.75,193.887,996.072,0
2008077,8.03,124.642,-13.081,0.838,29.25,179.858,989.022,0
2008078,8.217,121.569,-8.913,0.894,27.75,245.654,981.086,0
2008079,5.032,188.716,-16.461,0.849,38,176.246,993.259,0
2008080,5.909,318.468,-15.365,0.772,43,182.882,997.886,0
2008081,5.323,338.73,-6.562,0.723,32.75,264.019,996.216,0
2008082,8.622,194.974,-10.793,0.811,33,258.679,1008.711,0
2008083,2.12,295.545,-19.391,0.749,59.5,169.138,1009.264,0
2008084,5.928,319.801,-12.55,0.83,59.25,205.612,982.747,0
2008085,5.92,193.256,-17.764,0.683,71.5,164.992,986.66,0
2008086,5,170.645,-18.304,0.78,77.25,177.423,992.204,0
2008087,0.547,155.246,-20.019,0.866,82.75,171.031,995.925,0
2008088,2.276,230.354,-9.651,0.731,88,242.726,996.107,0
2008089,5.091,272.915,-8.269,0.86,92,209.237,991.282,0.00001
2008090,6.478,190.765,-1.153,0.948,46.5,300.683,974.961,0.00012
2008091,1.191,161.077,-16.093,0.851,107,181.633,999.134,0
2008092,4.427,29.904,-13.26,0.779,114.25,180.533,997.89,0
2008093,5.472,27.777,-8.605,0.761,119.25,196.176,987.525,0
2008094,8.704,56.227,-5.157,0.805,121.75,214.817,980.377,0
2008095,0.165,303.577,-10.239,0.825,85.75,242.675,985.815,0.00001
2008096,7.804,99.812,-16.719,0.703,140.5,162.079,985.899,0
2008097,5.22,10.671,-13.628,0.706,144,183.003,992.226,0
2008098,4.509,283.704,-9.006,0.639,143.25,208.433,994.515,0
2008099,5.679,310.3,-2.143,0.655,135.75,286.316,995.265,0
2008100,6.365,299.424,-3.839,0.767,141.75,232.782,994.992,0
2008101,7.212,315.099,-3.471,0.77,160.5,223.223,998.617,0
2008102,6.224,279.973,-3.133,0.734,123.5,257.467,997.846,0
2008103,4.07,288.648,-5.503,0.714,129.25,237.734,998.962,0
2008104,2.317,358.914,-7.116,0.782,183.25,213.342,1000.269,0
2008105,11.773,359.109,1.68,0.766,184.75,263.375,981.489,0
2008106,6.273,198.812,2.018,0.883,147.25,309.219,965.69,0
2008107,6.055,143.142,-3.054,0.827,193.25,225.914,974.866,0
2008108,1.863,65.872,-5.904,0.772,207.25,214.652,988.046,0
2008109,9.44,341.097,2.326,0.743,120.25,307.521,985.214,0
2008110,7.798,335.077,1.87,0.749,196,257.682,988.734,0
2008111,7.715,293.615,1.415,0.861,215,246.618,992.248,0
2008112,8.233,294.094,3.115,0.901,192.5,280.676,983.4,0
2008113,10.708,346.81,-1.347,0.719,232.75,212.587,987.898,0.00001
2008114,9.063,73.073,-4.453,0.729,237.5,198.41,989.703,0
2008115,6.618,254.923,-2.892,0.666,155.25,262.973,995.921,0
2008116,4.89,208.796,-3.442,0.692,237.75,207.24,997.105,0
2008117,10.102,197.65,-4.926,0.728,217.75,230.861,993.235,0
2008118,5.254,189.918,-3.967,0.739,208.75,225.34,996.761,0
2008119,2.27,71.398,-2.012,0.661,262,208.143,996.513,0
2008120,5.66,265.93,-1.938,0.628,260.75,207.745,990.553,0
2008121,8.291,271.564,-1.251,0.678,267.75,222.688,987.21,0
2008122,8.044,253.736,0.236,0.715,271,213.883,994.4,0
2008123,6.494,196.032,1.494,0.633,277.25,212.288,994.969,0
2008124,4.667,221.266,0.675,0.608,271.25,218.396,988.725,0
2008125,6.701,158.414,1.13,0.644,92.25,290.437,986.124,0.00004
2008126,6.208,116.65,4.353,0.632,283.5,231.878,988.028,0
2008127,2.713,202.088,5.744,0.68,234.75,257.164,985.652,0
2008128,6.037,191.311,2.629,0.77,289.75,230.241,988.017,0
2008129,5.907,146.676,3.946,0.661,294.25,232.246,987.89,0
2008130,4.088,204.017,2.704,0.588,300.25,222.904,993.302,0
2008131,6.371,151.513,4.601,0.668,164.75,289.719,991.341,0
2008132,1.041,24.662,4.818,0.573,302.75,237.086,987.953,0
2008133,5.55,314.936,5.536,0.763,214,285.064,986.114,0
2008134,0.132,357.973,6.293,0.935,305.75,258.876,987.833,0
2008135,1.848,39.911,7.108,0.824,279.75,277.888,983.216,0
2008136,6.671,198.213,6.818,0.898,295,277.397,987.161,0
2008137,6.755,67.876,7.851,0.919,63.25,329.14,976.629,0.00002
2008138,10.377,146.335,7.086,0.758,319,255.073,981.571,0
2008139,2.3,76.365,6.055,0.826,305.5,252.778,984.65,0
2008140,6.122,267.066,5.54,0.772,139,313.843,979.604,0
2008141,5.493,178.184,5.224,0.726,331.5,239.845,990.933,0
2008142,4.803,241.391,4.482,0.777,336.75,236.121,991.344,0
2008143,6.205,250.256,4.52,0.892,329,252.815,996.008,0
2008144,6.141,286.892,5.983,0.883,330.5,260.782,1001.808,0
2008145,4.441,312.735,8.383,0.794,321.25,282.391,997.248,0
2008146,12.456,243.222,5.719,0.879,90.5,327.694,985.446,0.00014
2008147,9.04,217.924,2.14,0.707,351,221.17,996.897,0.00001
2008148,6.101,69.435,6.958,0.719,344.5,252.5,1001.481,0
2008149,6.71,78.111,8.494,0.713,344.5,267.317,997.109,0
2008150,3.602,328.574,9.127,0.701,345.75,272.114,990.342,0
2008151,2.284,333.152,8.852,0.902,255,315.314,980.841,0
2008152,6.228,187.068,13.115,0.967,69.25,365.326,982.635,0
2008153,12.181,168.218,11.329,0.789,339.5,275.577,986.036,0
2008154,3.513,190.09,11.591,0.505,354.75,259.729,993.22,0
2008155,5.975,357.354,13.508,0.702,357,267.966,986.839,0
2008156,6.322,356.29,11.962,0.849,260.5,321.53,978.581,0
2008157,4.241,218.065,12.933,0.725,350.75,283.776,985.237,0.00002
2008158,9.011,251.333,13.246,0.751,129,335.545,977.655,0
2008159,6.781,163.753,11.797,0.907,39.25,364.027,964.559,0.00059
2008160,10.359,250.779,8.654,0.894,53,346.561,983.035,0.00004
2008161,8.609,243.447,9.56,0.826,348,279.387,983.693,0
2008162,4.647,254.126,12.739,0.62,359,269.381,988.524,0
2008163,3.973,273.184,14.003,0.714,342.75,284.875,992.491,0
2008164,12.842,283.918,12.111,0.862,48.25,361.19,977.753,0.00075
2008165,2.332,277.317,11.963,0.903,315.25,304.468,972.089,0
2008166,2.457,215.504,12.973,0.907,344.25,299.136,977.105,0
2008167,9.048,163.8,11.592,0.66,170.75,339.517,984.622,0
2008168,3.767,0.276,13.418,0.766,291.75,306.931,991.535,0
2008169,4.456,309.148,13.804,0.726,348.75,292.468,993.385,0
2008170,5.51,335.568,14.539,0.791,79.5,369.551,990.185,0
2008171,6.101,148.631,13.773,0.963,234,356.576,985.625,0
2008172,5.417,122.399,13.796,0.863,342.75,300.062,986.457,0
2008173,6.158,145.782,14.45,0.814,345.25,302.318,990.866,0
2008174,0.783,233.012,14.44,0.875,340.75,314.147,992.572,0.00002
2008175,5.735,16.015,15.07,0.85,212,340.452,989.989,0
2008176,6.164,108.185,14.481,0.852,342,306.145,984.02,0.00002
2008177,4.103,45.113,14.404,0.947,296,333.747,981.259,0
2008178,6.078,84.889,15.178,0.81,283.5,326.476,982.777,0.00008
2008179,3.128,229.569,14.088,0.976,43.75,373.3,978.549,0.0074
2008180,8.437,192.181,14.913,0.862,238,327.709,986.361,0.00001
2008181,3.185,189.136,15.246,0.789,337,310.214,993.775,0
2008182,7.365,31.868,16.021,0.784,328.25,328.503,986.717,0
2008183,6.094,88.103,17.502,0.891,315.25,329.377,979.918,0
2008184,9.663,188.501,14.369,0.719,250.75,338.719,990.828,0
2008185,6.563,73.863,16.631,0.716,332.75,302.232,991.194,0
2008186,6.766,30.966,16.885,0.813,317.5,318.809,983.865,0
2008187,11.255,21.599,18.698,0.721,288.75,352.174,973.416,0
2008188,12.396,178.26,12.815,0.784,130.25,354.55,979.931,0.00005
2008189,4.503,307.318,15.665,0.735,230.75,329.819,986.949,0
2008190,9.848,193.279,13.757,0.868,43.5,362.881,982.023,0.0005
2008191,6.242,345.857,14.663,0.843,237.75,335.421,985.556,0
2008192,2.396,304.118,14.731,0.846,318,300.368,986.708,0
2008193,10.396,319.584,16.158,0.963,40,390.941,976.022,0.00024
2008194,16.179,138.406,14.922,0.91,28,380.143,962.459,0.00017
2008195,9.639,165.954,15.447,0.69,318.5,287.227,981.061,0
2008196,6.715,82.996,16.548,0.922,302.75,328.665,977.911,0
2008197,4.526,85.462,16.701,0.843,302.5,315.985,984.965,0
2008198,1.134,36.505,16.612,0.886,165.25,345.867,991.231,0
2008199,1.686,257.705,16.315,0.914,205.75,345.159,991.235,0
2008200,2.797,159.02,16.412,0.932,293.25,319.883,990.191,0
2008201,5.07,311.015,17.053,0.882,292.5,322.948,989.653,0
2008202,4.25,276.477,17.045,0.911,232.75,346.028,987.587,0.00003
2008203,2.496,288.847,16.139,0.932,111,385.861,992.248,0
2008204,7.321,339.65,16.675,0.909,286.5,318.316,992.977,0
2008205,9.01,344.214,17.699,0.819,172,376.244,989.237,0
2008206,3.398,62.404,17.664,0.972,180.75,387.074,979.255,0
2008207,7.871,125.225,17.048,0.842,275.25,315.957,984.778,0
2008208,6.237,122.175,17.153,0.824,275,315.667,987.057,0
2008209,2.248,225.228,17.167,0.796,273.5,314.144,986.755,0
2008210,4.654,349.132,16.218,0.937,35.5,375.523,982.776,0.00003
2008211,8.305,167.075,15.875,0.972,29.25,390.977,974.288,0.00081
2008212,2.274,222.265,16.668,0.985,246.75,342.407,983.294,0.00006
2008213,7.244,43.835,16.035,0.975,49.5,391.392,981.56,0.00287
2008214,4.738,96.803,17.491,0.796,257.75,312.602,983.948,0.00001
2008215,8.95,353.128,17.596,0.879,173.75,359.961,980.977,0
2008216,5.493,45.253,18.036,0.794,203.5,329.266,982.121,0
2008217,7.129,85.844,17.01,0.847,165.25,345.092,982.487,0
2008218,6.587,92.401,16.722,0.823,242.75,311.096,988.389,0
2008219,6.049,163.953,16.964,0.857,237.75,318.86,991.33,0
2008220,3.903,85.212,17.5,0.835,235.25,322.572,994.515,0
2008221,1.353,323.455,17.881,0.881,176,351.244,990.013,0
2008222,4.637,292.246,17.602,0.792,227.25,326.44,991.524,0
2008223,5.313,322.071,17.448,0.755,228.75,305.68,992.285,0
2008224,7.796,325.055,17.802,0.834,214.75,339.457,986.082,0
2008225,6.238,324.513,17.404,0.911,84,372.801,982.412,0
2008226,4.351,330.218,16.655,0.973,21.5,391.988,983.721,0.00001
2008227,4.413,282.872,17.795,0.873,205.5,344.584,989.631,0
2008228,5.098,60.037,18.026,0.956,197.75,344.168,993.6,0
2008229,3.936,127.707,17.978,0.881,182.75,342.266,989.761,0
2008230,6.925,118.865,18.445,0.859,195.75,342.094,980.385,0
2008231,3.829,283.839,15.844,0.771,199,301.692,991.958,0
2008232,7.455,1.386,17.4,0.777,196.25,310.884,987.61,0
2008233,9.015,355.803,19.305,0.787,188.5,337.213,980.661,0
2008234,7.685,1.888,18.308,0.892,97.75,376.924,974.46,0.00073
2008235,3.762,331.259,16.987,0.975,65.5,372.262,971.066,0.00019
2008236,13.751,153.914,12.155,0.82,43.75,355.292,985.05,0.00038
2008237,3.669,103.418,15.378,0.598,178.25,291.383,995.809,0
2008238,9.428,356.199,15.924,0.828,172.25,305.963,988.875,0
2008239,10.832,350.544,18.003,0.795,165,334.41,978.797,0
2008240,14.208,71.38,14.371,0.739,52.75,364.195,972.193,0
2008241,4.763,68.988,16.26,0.781,113,339.557,977.382,0
2008242,5.641,96.512,15.876,0.832,35.25,368.896,980.242,0
2008243,9.513,356.38,17.337,0.746,135.5,320.925,982.617,0
2008244,8.478,185.432,14.131,0.842,110.25,332.172,982.223,0
2008245,8.69,216.53,12.389,0.885,66.5,353.629,984.764,0.00009
2008246,8.55,204.161,12.479,0.831,35.5,354.078,986.601,0.00005
2008247,3.153,90.763,12.124,0.824,138,283.969,993.057,0.00014
2008248,5.746,321.187,13.342,0.857,100.5,318.868,992.093,0
2008249,3.126,64.236,13.107,0.878,49.75,346.538,987.391,0.00001
2008250,5.405,141.821,12.229,0.88,62,359.746,985.854,0.00014
2008251,8.969,195.649,9.309,0.804,47.75,344.087,991.605,0.0001
2008252,4.584,93.256,11.62,0.69,100,283.576,993.071,0
2008253,5.138,16.263,12.151,0.811,115.75,278.884,986.096,0
2008254,8.705,359.327,13.636,0.797,40.75,350.793,982.725,0
2008255,2.552,200.833,11.14,0.925,38,359.775,989.788,0.00001
2008256,7.137,54.234,13.833,0.806,100.25,306.439,980.392,0
2008257,7.419,191.043,12.842,0.891,70.5,314.743,981.751,0
2008258,2.566,183.47,10.596,0.805,55.75,324.333,993.396,0.00002
2008259,4.841,153.243,13.001,0.86,89.75,290.683,987.679,0
2008260,8.104,147.4,13.052,0.895,71.75,317.354,985.724,0
2008261,5.941,225.25,5.962,0.741,69.75,269.956,1001.512,0.00001
2008262,10.188,345.269,12.115,0.809,67.5,305.984,988.85,0
2008263,10.566,143.624,13.516,0.881,74,294.999,981.841,0
2008264,3.422,275.57,5.06,0.676,67.75,245.185,1002.512,0
2008265,7.594,309.94,10.022,0.69,62.5,275.265,995.644,0
2008266,9.732,321.455,14.578,0.868,49,340.897,986.769,0
2008267,11.277,124.365,13.012,0.925,7.25,364.175,981.598,0.00551
2008268,9.216,108.018,12.438,0.757,51.75,294.303,987.345,0
2008269,3.449,26.628,13.166,0.734,50.75,285.952,989.279,0
2008270,8.567,206.847,9.953,0.632,50,264.745,992.28,0
2008271,2.405,251.48,10.302,0.539,47.75,257.068,1001.425,0
2008272,12.417,334.441,11.321,0.803,7.25,350.634,988.224,0.00028
2008273,11.678,180.451,8.853,0.827,7,338.157,994.348,0.00012
2008274,2.562,352.432,10.118,0.712,9.5,341.9,992.507,0
2008275,4.347,111.308,7.071,0.962,30.75,279.08,997.12,0
2008276,6.599,251.852,5.682,0.894,29.5,261.798,991.551,0
2008277,5.821,331.112,6.114,0.816,19.25,309.944,993.681,0
2008278,8.457,338.837,7.462,0.809,20.75,290.703,991.346,0
2008279,7.968,313.263,7.66,0.781,21.25,266.092,992.929,0
2008280,9.488,310.188,7.95,0.851,8.5,347.857,985.634,0.00026
2008281,7.082,23.606,6.863,0.925,15.25,266.765,983.81,0
2008282,7.821,303.695,7.683,0.914,8.5,318.994,974.765,0
2008283,9.594,169.994,5.209,0.912,2.5,330.514,980.772,0.00029
2008284,5.983,131.274,4.614,0.742,4.75,280.363,993.395,0.00002
2008285,3.347,101.563,5.461,0.72,3.75,289.607,1002.086,0
2008286,7.19,240.048,4.177,0.79,2.5,260.612,1001.03,0
2008287,5.216,195.933,4.057,0.904,0,326.085,988.622,0.00002
2008288,5.66,44.277,5.277,0.852,0,267.153,986.014,0
2008289,8.743,158.257,6.176,0.941,0,336.823,986.289,0.00004
2008290,5.288,91.294,5.072,0.826,0,239.4,996.294,0
2008291,5.597,34.905,6.23,0.797,0,237,995.792,0
2008292,5.729,41.479,6.743,0.877,0,289.833,982.716,0
2008293,7.053,144.569,6.475,0.889,0,249.464,987.874,0
2008294,4.083,216.286,2.833,0.715,0,274.585,1004.641,0.00003
2008295,14.318,356.72,4.41,0.746,0,240.301,993.514,0
2008296,6.493,105.322,6.61,0.914,0,331.918,994.011,0.00002
2008297,8.998,18.584,5.668,0.829,0,243.483,995.458,0
2008298,3.493,129.351,6.678,0.894,0,253.451,985.416,0
2008299,7.919,95.148,6.609,0.777,0,261.229,965.216,0
2008300,14.457,154.415,5.142,0.86,0,324.708,978.403,0.00013
2008301,11.306,146.124,0.718,0.708,0,293.165,1001.444,0.00004
2008302,4.973,111.856,3.5,0.661,0,244.145,994.465,0
2008303,9.745,354.806,5.175,0.775,0,276.342,991.201,0
2008304,7.028,35.391,7.171,0.829,0,272.215,972.563,0
2008305,3.928,164.57,-5.262,0.843,0,204.435,1005.263,0
2008306,5.575,285.177,-1.91,0.836,0,271.237,1002.084,0
2008307,6.359,124.662,-1.16,0.961,0,253.177,982.636,0
2008308,5.871,305.984,2.194,0.962,0,315.762,980.565,0
2008309,9.057,60.015,3.278,0.911,0,263.838,970.927,0
2008310,7.516,187.689,-1.818,0.947,0,243.739,982.226,0
2008311,8.791,223.209,-3.478,0.797,0,279.29,996.027,0.00001
2008312,9.864,203.215,-4.974,0.807,0,272.644,993.317,0.00003
2008313,8.408,193.906,-9.718,0.808,0,181.649,996.762,0
2008314,4.427,190.986,-11.268,0.851,0,181.075,995.119,0
2008315,3.625,314.925,-10.386,0.801,0,187.554,995.847,0
2008316,9.052,346.642,-6.946,0.866,0,230.586,989.564,0
2008317,7.116,14.006,-2.04,0.938,0,304.66,980.136,0.00005
2008318,4.142,218.237,-1.084,0.97,0,304.062,963.085,0.00023
2008319,12.636,165.026,-5.474,0.842,0,269.875,983.656,0.00003
2008320,2.745,130.216,-11.593,0.852,0,187.916,995.766,0
2008321,6.043,185.462,-6.721,0.89,0,260.145,991.473,0.00001
2008322,4.793,160.251,-13.35,0.782,0,167.495,1005.788,0
2008323,8.744,350.174,-8.911,0.814,0,267.958,996.966,0.00001
2008324,7.852,190.146,-8.194,0.86,0,251.942,995.16,0
2008325,8.362,161.308,-15.93,0.638,0,213.521,1016.76,0.00002
2008326,5.953,329.475,-18.399,0.818,0,165.594,1003.324,0
2008327,9.434,6.435,-12.65,0.76,0,217.345,991.35,0
2008328,7.821,82.383,-3.681,0.89,0,253.385,980.922,0
2008329,9.699,147.9,-7.187,0.821,0,259.194,990.157,0
2008330,6.55,3.378,-6.619,0.838,0,220.326,984.835,0
2008331,2.937,316.402,-5.072,0.946,0,281.107,991.232,0.00001
2008332,10.1,141.856,-0.931,0.939,0,306.507,984.189,0.0001
2008333,6.156,146.057,-4.552,0.86,0,283.159,987.436,0.00002
2008334,3.602,121.31,-9.344,0.788,0,231.273,985.041,0.00002
2008335,7.019,172.399,-12.209,0.81,0,243.373,986.231,0.00002
2008336,2.993,100.644,-11.582,0.81,0,244.1,988.578,0
2008337,13.224,112.447,-2.342,0.853,0,273.57,958.915,0.00003
2008338,8.608,133.792,-13.068,0.776,0,242.885,990.936,0.00001
2008339,9.264,153,-13.838,0.728,0,218.878,996.095,0
2008340,7.193,12.453,-13.704,0.818,0,233.154,979.671,0.00009
2008341,8.875,152.304,-20.682,0.702,0,183.776,995.745,0.00001
2008342,8.266,340.062,-18.759,0.762,0,225.792,990.402,0.00001
2008343,6.481,182.557,-19.379,0.794,0,164.935,991.721,0
2008344,4.547,169.057,-24.001,0.721,0,173.837,1003.234,0.00001
2008345,6.85,314.172,-21.259,0.755,0,228.571,992.328,0.00022
2008346,4.038,168.324,-23.498,0.738,0,172.958,994.237,0
2008347,7.038,358.878,-21.305,0.774,0,217.889,982.344,0.00002
2008348,7.654,182.252,-25.81,0.708,0,168.42,987.453,0
2008349,6.239,182.851,-26.868,0.643,0,182.353,1000.961,0.00001
2008350,8.217,133.986,-27.3,0.656,0,186.721,999.511,0
2008351,6.816,42.967,-25.153,0.712,0,189.08,990.221,0
2008352,6.245,133.252,-22.024,0.717,0,202.611,986.864,0.00001
2008353,3.658,206.589,-30.976,0.689,0,121.566,1002.51,0
2008354,2.676,290.486,-26.614,0.61,0,177.65,1005.215,0
2008355,5.173,227.748,-21.355,0.659,0,225.725,997.718,0.00016
2008356,10.482,143.253,-25.45,0.669,0,182.161,1000.397,0.00001
2008357,6.056,91.294,-22.753,0.74,0,160.676,993.847,0
2008358,2.653,125.906,-25.923,0.76,0,143.894,984.956,0
2008359,2.642,115.79,-24.336,0.756,0,159.512,983.285,0
2008360,7.411,336.049,-21.632,0.746,0,190.014,982.49,0
2008361,4.727,271.967,-13.083,0.819,0,231.31,978.464,0
2008362,5.509,157.244,-18.873,0.753,0,214.434,980.259,0.00001
2008363,4.415,0.382,-19.066,0.762,0,175.583,976.905,0
2008364,9.415,125.879,-20.969,0.741,0,148.871,990.078,0
2008365,6.71,152.763,-24.511,0.751,0,152.693,996.767,0
2008366,6.242,351.262,-20.644,0.742,0,229.022,997.197,0.00004
