Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Longit,ude:   5,2.5500 -97.6390,,,,,
TIME,WIND_SPEED  W,IND_DIR,AIR_TEMP   RE,L_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2008001,7.558,145.44,-18.068,0.713,0,214.234,1004.948,0
2008002,1.893,35.888,-21.98,0.758,0,160.834,1010.703,0
2008003,8.082,86.997,-6.515,0.831,0,224.379,974.811,0
2008004,8.904,345.357,-5.715,0.853,0,252.747,977.079,0
2008005,8.945,336.649,-5.24,0.854,0,275.104,965.166,0
2008006,6.147,36.006,-1.443,0.906,0,276.245,960.273,0
2008007,1.764,40.469,-11.209,0.944,0,218.84,975.386,0
2008008,4.696,131.519,-14.484,0.826,0,204.89,986.75,0.00001
2008009,3.713,333.693,-16.889,0.852,0,184.127,986.435,0
2008010,5.731,178.094,-13.542,0.841,0,259.071,988.133,0.00001
2008011,5.319,200.254,-13.519,0.836,0,249.371,983.04,0.00001
2008012,1.429,98.47,-21.4,0.784,0,174.312,992.041,0
2008013,7.038,184.384,-22.475,0.736,0,150.863,999.323,0
2008014,3.914,333.596,-24.603,0.738,0,158.841,1003.666,0
2008015,15.713,343.915,-14.76,0.737,0,246.29,976.126,0
2008016,12.293,155.354,-16.241,0.713,0,208.992,989.784,0
2008017,4.206,63.007,-14.492,0.801,0,241.166,979.777,0.00003
2008018,11.769,151.948,-25.014,0.644,0,185.522,993.896,0
2008019,6.89,138.702,-28.163,0.716,0,131.491,997.021,0
2008020,6.539,118.006,-27.944,0.713,0,136.913,1003.062,0
2008021,5.542,87.013,-23.466,0.73,0,178.88,1000.124,0
2008022,6.5,166.711,-25.657,0.725,0,179.005,988.9,0
2008023,5.824,124.578,-27.459,0.722,0,133.954,994.807,0
2008024,8.803,32.294,-17.142,0.749,0,192.477,983.75,0
2008025,1.703,210.741,-18.795,0.821,0,210.032,994.39,0
2008026,5.136,29.415,-14.049,0.834,0,225.143,977.469,0.00001
2008027,6.894,339.118,-13.141,0.841,0,211.568,977.883,0
2008028,11.283,247.199,-8.938,0.834,0,278.129,967.418,0.00082
2008029,15.499,159.522,-25.032,0.648,0,204.21,976.35,0.00008
