8 data sets,,,,,,,,
0 seconds be,tween data,,,,,,,
0        101,101,101,101,101,101,101,101,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2017078,10.461,4.47,0.276,0.903,21,313.708,977.037,0.00066
2017079,3.739,90.396,-7.04,0.83,45.5,203.672,989.744,0
2017080,3.298,138.43,-20.63,0.763,53.75,147.082,1008.336,0
2017081,3.792,340.007,-12.441,0.706,39.5,235.097,1003.222,0
2017082,7.508,359.685,-3.525,0.863,58.5,231.59,979.645,0
2017083,3.231,214.514,-9.902,0.899,66,199.02,995.581,0
2017084,4.329,318.669,-3.641,0.823,48.5,274.729,993.551,0
2017085,1.708,129.978,-4.461,0.975,68.25,252.284,986.599,0
2017086,1.207,182.535,-9.27,0.871,79.5,223.487,990.289,0
2017087,1.553,211.273,-10.912,0.871,84.75,203.375,998.127,0
2017088,3.987,321.048,0.386,0.962,54,316.44,995.524,0.00067
2017089,3.057,347.999,-0.429,1,94.75,254.865,982.107,0
2017090,2.568,192.36,2.247,0.969,51.75,316.737,992.162,0.00002
2017091,1.425,82.667,-5.795,0.934,99,249.162,995.267,0.00001
2017092,7.093,346.932,4.143,0.901,60.25,304.55,974.752,0.00001
2017093,2.081,119.477,-1.465,0.911,120.75,232.625,980.363,0
2017094,2.437,148.671,-1.616,0.878,118.75,230.454,986.075,0
2017095,1.37,116.479,-4.335,0.833,133.5,214.192,993.635,0
2017096,0.736,343.295,-3.18,0.893,140.5,218.5,998.721,0
2017097,6.85,356.109,1.542,0.755,132.75,250.586,984.679,0
2017098,4.542,347.991,4.495,0.819,70.75,308.237,969.04,0
2017099,8.877,147.083,-5.605,0.827,111,248.985,979.938,0.00001
2017100,2.478,206.661,-8.388,0.679,169.25,184.975,1000.4,0
2017101,3.031,334.302,-2.911,0.663,165,211.75,995.51,0
2017102,1.094,306.127,-0.631,0.789,174.5,225.813,995.818,0
2017103,1.235,269.975,0.376,0.716,170.5,240.74,1000.196,0
2017104,4.002,283.747,4.288,0.737,113.25,290.854,989.172,0
2017105,4.757,112.11,3.267,0.975,90,330.806,979.935,0
2017106,4.638,261.802,-2.298,0.863,168.25,260.123,986.009,0
2017107,2.257,158.29,-2.321,0.787,171.75,257.802,998.277,0
2017108,0.962,216.705,0.002,0.85,106.25,280.174,988.872,0
2017109,3.889,303.645,-0.24,0.745,169.75,249.26,994.143,0
2017110,1.015,312.328,3.047,0.814,102.5,299.435,990.836,0
2017111,1.018,14.335,0.104,0.98,196.5,251.4,996.103,0
2017112,5.042,195.113,-2.024,0.824,138,265.969,997.947,0
2017113,0.903,220.637,-6.18,0.63,240.75,189.264,1000.168,0
2017114,3.286,271.422,-2.311,0.563,107.75,274.668,991.007,0
2017115,5.498,218.208,-4.549,0.685,245.25,206.948,989.755,0
2017116,4.508,234.473,-5.451,0.641,223,210.586,992.789,0
2017117,4.198,207.177,-3.206,0.563,155.25,255.306,984.055,0
2017118,4.469,168.649,-1,0.6,165.75,257.877,986.554,0
2017119,1.1,207.331,-1.919,0.747,266.5,219.045,998.897,0
2017120,2.078,320.064,2.286,0.783,268.75,240.972,992.099,0
2017121,3.23,300.939,8.519,0.554,229.25,278.12,983.416,0
2017122,3.15,270.386,6.303,0.628,135.75,310.769,984.314,0
2017123,1.52,143.288,6.775,0.745,190.5,274.634,988.004,0
2017124,2.331,268.573,5.935,0.622,218.75,308.533,991.807,0
2017125,2.927,186.746,9.981,0.655,275.75,278.184,985.913,0
2017126,4.426,274.715,4.687,0.717,273.75,245.316,994.024,0
2017127,5.2,302.191,5.534,0.472,107.25,317.909,993.816,0
2017128,4.577,307.956,7.902,0.473,118.75,327.985,989.365,0
2017129,3.149,72.475,7.352,0.885,176.75,325.851,984.639,0
2017130,3.13,164.181,3.646,0.704,307.5,232.175,985.941,0
2017131,3.397,136.484,4.855,0.784,271.25,255.103,993.049,0
2017132,2.688,183.066,4.273,0.744,310.75,240.944,993.195,0
2017133,2.884,259.957,4.711,0.817,237.75,272.718,990.168,0
2017134,4.372,271.448,7.269,0.678,108.75,330.42,986.334,0.00002
2017135,0.987,86.077,8.804,0.808,310.75,286.484,984.681,0
2017136,2.718,193.085,10.093,0.737,225.5,311.795,978.162,0
2017137,5.623,208.734,3.675,0.76,194,309.218,986.018,0
2017138,2.93,197.287,2.694,0.575,340.5,219.716,996.329,0
2017139,2.096,0.644,5.2,0.787,339,237.767,1001.698,0
2017140,1.546,297.79,8.575,0.66,213.25,294.791,997.178,0
2017141,1.888,204.996,9.872,0.608,147.25,330.936,989.846,0
2017142,4.578,197.425,7.247,0.948,60.75,339.599,984.99,0.00013
2017143,2.422,194.738,8.929,0.688,340.5,263.702,993.057,0
2017144,3.205,332.04,9.173,0.721,319,276.224,981.027,0
2017145,6.123,319.505,10.463,0.709,153.25,311.019,973.267,0
2017146,2.696,353.974,11.245,0.792,336.75,296.185,971.587,0
2017147,1.91,37.099,10.054,0.82,235.75,328.388,977.601,0
2017148,4.955,133.633,8.073,0.969,92.5,352.81,978.765,0.00017
2017149,6.429,144.965,6.244,0.929,86,340.029,982.743,0.00012
2017150,6.578,151.616,7.435,0.821,318.25,270.835,985.881,0
2017151,2.185,181.913,12.449,0.577,352.25,275.365,988.976,0
2017152,1.919,29.055,15.485,0.612,340.5,300.859,986.445,0
2017153,4.514,334.818,17.743,0.526,271,337.854,982.306,0
2017154,2.919,70.724,17.602,0.665,305,325.676,978.814,0
2017155,2.642,133.415,14.971,0.931,182.5,385.441,983.799,0
2017156,1.723,286.444,16.284,0.851,344.5,328.121,990.269,0
2017157,4.971,343.575,16.897,0.701,345,321.031,988.389,0
2017158,3.289,117.244,15.178,0.863,294.5,332.102,988.422,0
2017159,2.413,186.328,15.944,0.669,353.5,306.27,989.219,0
2017160,1.497,294.684,14.489,0.754,354.75,299.757,982.657,0
2017161,1.453,294.283,15.56,0.949,190,347.594,962.101,0.0008
2017162,2.33,315.777,11.407,0.851,352.75,293.454,976.819,0
2017163,4.424,123.242,13.176,0.793,364,279.318,985.229,0
2017164,3.92,277.965,13.42,0.609,357.5,280.742,989.803,0
2017165,6.166,280.924,14.061,0.962,37.5,381.64,972.302,0.00123
2017166,4.41,8.647,13.202,0.969,59.5,377.036,967.62,0.00022
2017167,5.612,109.516,11.467,0.946,49,365.365,972.968,0.00018
2017168,2.269,163.83,11.694,0.905,81.25,358.887,975.858,0.00011
2017169,3.387,203.055,11.549,0.933,67.25,360.625,981.46,0.00004
2017170,1.611,162.129,13.629,0.719,195.25,328.39,984.014,0
2017171,1.348,63.75,13.72,0.828,353,295.432,987.131,0
2017172,3.255,330.078,15.183,0.776,288.75,321.894,980.943,0
2017173,3.672,52.286,13.524,0.771,194,338.814,972.012,0
2017174,7.407,138.934,12.697,0.955,38.5,373.837,978.391,0.0002
2017175,5.868,224.708,10.747,0.848,107.75,349.119,988.203,0.00016
2017176,3.337,128.756,12.615,0.771,233,326.047,995.017,0
2017177,1.692,96.318,14.04,0.772,351,292.156,993.285,0
2017178,3.823,358.442,15.1,0.687,348.25,299.01,981.667,0
2017179,2.649,276.767,14.315,0.974,47.5,381.564,974.687,0.00026
2017180,2.004,143.466,13.803,0.966,259.75,342.754,982.253,0.00001
2017181,3.745,129.256,13.21,0.914,248,334.472,984.153,0.00001
2017182,2.956,122.182,14.832,0.822,343.25,300.845,984.244,0
2017183,2.483,208.545,14.624,0.832,338.5,306.742,991.441,0
2017184,1.687,320.181,17.333,0.821,221.25,363.378,990.608,0
2017185,5.385,348.244,18.959,0.762,301.5,351.034,982.292,0
2017186,2.727,73.597,17.239,0.775,339.75,307.375,986.135,0
2017187,3.822,142.458,17.491,0.828,332.5,319.648,985.849,0
2017188,0.894,115.777,16.693,0.897,290.75,325.912,992.425,0
