Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  Stn500,,,,,,,
Station Lat,itude and Long,itude:,50.7972 -96.,7317,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2015001,8.297,157.634,-19.002,0.674,0,148.364,985.987,0
2015002,3,307.766,-19.946,0.77,0,173.939,991.092,0
2015003,10.158,181.815,-23.531,0.668,0,162.079,998.72,0
2015004,6.226,139.283,-28.636,0.651,0,148.065,1005.341,0
2015005,6.47,50.407,-26.718,0.718,0,142.928,997.106,0
2015006,8.248,133.448,-18.046,0.781,0,217.912,998.035,0
2015007,6.662,111.705,-21.212,0.704,0,199.728,1016.796,0
2015008,4.815,114.763,-18.265,0.758,0,220.361,984.39,0.00002
2015009,10.004,129.803,-18.478,0.687,0,207.251,994.993,0
2015010,4.037,117.536,-21.695,0.706,0,170.585,987.928,0
2015011,5.264,78.73,-25.085,0.768,0,146.999,995.417,0
2015012,2.057,65.649,-27.033,0.722,0,137.444,1014.253,0
2015013,10.645,16.034,-21.688,0.74,0,169.105,998.444,0
2015014,1.049,213.748,-13.306,0.87,0,230.849,993.444,0.00001
2015015,7.679,160.587,-11.931,0.773,0,231.038,987.788,0
2015016,4.003,297.914,-20.73,0.765,0,166.991,995.558,0
2015017,7.838,145.719,-6.266,0.899,0,276.464,968.908,0.00003
2015018,6.229,176.795,-14.245,0.8,0,210.253,984.686,0
2015019,5.638,302.131,-13.945,0.826,0,206.172,985.418,0
2015020,1.203,144.158,-10.29,0.893,0,246.897,989.228,0
2015021,4.93,152.032,-16.965,0.798,0,190.786,998.717,0
2015022,12.629,11.021,-10.7,0.868,0,253.384,988.307,0
2015023,5.979,121.984,0.099,0.964,0,294.264,981.966,0.00001
2015024,5.602,230.062,-7.342,0.818,0,273.474,982.4,0
2015025,3.898,330.787,-13.976,0.739,0,250.901,991.915,0
2015026,10.352,151.611,-3.022,0.885,0,288.639,977.735,0
2015027,8.234,3.302,-6.854,0.911,0,256.355,987.784,0.00001
2015028,4.484,260.811,-1.608,0.925,0,299.449,985.805,0.00018
2015029,10.138,158.494,-17.538,0.731,0,166.091,1002.46,0
2015030,6.742,354.683,-14.729,0.767,0,247.492,1001.209,0.00004
2015031,8.301,164.936,-23.811,0.718,0,137.932,1005.836,0
2015032,4.419,97.652,-26.981,0.732,0,137.134,1009.626,0
2015033,3.89,85.607,-18.15,0.79,0,203.966,989.427,0
2015034,3.911,89.708,-22.84,0.758,0,148.848,990.364,0
2015035,5.311,143.953,-24.806,0.716,0,144.892,999.057,0
2015036,9.225,42.946,-15.278,0.781,0,244.646,982.781,0
2015037,4.286,208.559,-18.305,0.701,0,228.452,995.038,0
2015038,8.631,272.007,-14.713,0.757,0,256.986,983.143,0.00065
2015039,4.546,240.434,-18.659,0.738,0,206.044,991.977,0
2015040,4.002,175.416,-17.918,0.72,0,237.846,1001.463,0.00002
2015041,7.108,280.242,-10.054,0.819,0,270.298,991.75,0.00027
2015042,9.52,157.329,-20.175,0.733,0,170.309,1001.337,0
2015043,3.557,48.654,-23.463,0.741,0,192.58,1009.656,0
2015044,7.592,144.802,-16.052,0.782,0,221.648,992.053,0
2015045,7.333,176.831,-27.829,0.671,0,126.19,1013.44,0
2015046,8.443,347.099,-21.003,0.688,0,218.272,1004.792,0
2015047,6.499,136.277,-19.307,0.797,0,174.033,994.358,0
2015048,7.678,125.703,-18.757,0.766,0,216.209,989.972,0
2015049,6.572,145.509,-24.35,0.718,0,175.047,997.994,0
2015050,2.085,348.998,-27.891,0.779,0,140.45,999.492,0
2015051,1.713,102.438,-12.716,0.839,0,252.529,979.767,0.00005
2015052,5.989,147.682,-26.351,0.757,0,139.788,997,0
2015053,5.186,118.978,-29.751,0.693,0,127.258,1012.099,0
2015054,11.608,23.398,-24.051,0.695,0,197.048,994.78,0
2015055,9.994,156.783,-17.683,0.718,0,167.723,985.301,0
2015056,5.823,160.663,-24.635,0.741,0,141.76,995.987,0
2015057,4.429,121.699,-26.536,0.739,0,143.967,1006.931,0
2015058,4.385,42.645,-22.609,0.71,0,157.83,1000.982,0
2015059,6.475,16.134,-19.593,0.805,0,179.481,995.985,0
2015060,5.332,89.839,-16.208,0.825,0,211.604,991.611,0.00002
2015061,7.038,21.865,-16.81,0.791,0,168.542,997.054,0
2015062,9.364,138.101,-12.685,0.771,0,233.415,981.193,0
2015063,8.307,149.901,-19.056,0.726,0,210.182,992.766,0
2015064,6.258,24.669,-26.559,0.737,0,147.704,997.308,0
2015065,5.523,104.319,-15.393,0.828,0,183.571,987.884,0
2015066,4.356,149.146,-17.16,0.859,0,175.311,993.999,0
2015067,4.578,54.338,-8.033,0.911,0,221.148,987.102,0
2015068,4.883,348.018,-6.156,0.928,1.75,220.851,982.137,0
2015069,7.179,131.12,-0.319,0.965,5,280.822,978.629,0
2015070,4.745,189.655,-10.274,0.848,9.5,251.417,999.468,0
2015071,8.638,288.371,-0.674,0.751,13,295.581,991.999,0
2015072,4.21,151.596,-0.547,0.973,8.25,313.119,992.948,0.00005
2015073,1.563,64.486,-7.756,0.896,19.75,227.557,995.787,0
2015074,9.315,56.284,4.7,0.878,32.5,277.676,973.002,0
2015075,8.243,161.57,-5.345,0.779,24.75,255.206,992.677,0
2015076,4.142,101.953,-9.087,0.748,36.25,232.36,1004.859,0.00001
2015077,1.619,350.341,-15.298,0.746,38.25,186.324,999.903,0
2015078,6.955,25.545,-5.683,0.876,41.25,223.362,988.934,0
2015079,5.081,175.754,-11.889,0.817,46.5,198.264,991.064,0
2015080,3.818,86.658,-18.326,0.683,55.25,159.174,1003.035,0
2015081,3.165,260.721,-14.741,0.739,59.25,180.514,1003.691,0
2015082,5.831,323.914,-4.295,0.7,56,255.42,995.922,0
2015083,5.056,327.508,-0.717,0.915,40,304.054,987.883,0.00001
2015084,12.342,161.119,-0.864,0.941,41.25,304.733,980.324,0.00008
2015085,4.008,195.661,-15.84,0.8,85,162.405,999.995,0
2015086,3.928,348.785,-12.521,0.649,89,181.143,997.561,0
2015087,8.898,358.211,-7.526,0.708,84.25,222.405,989.353,0
2015088,11.556,157.791,-0.537,0.923,77.5,299.784,977.938,0.00002
2015089,4.643,332.14,-0.235,0.756,82,262.05,983.503,0
2015090,4.893,147.637,-1.139,0.971,93.5,283.295,985.725,0
2015091,9.308,303.936,2.254,0.795,84.5,283.201,973.96,0
2015092,6.307,135.717,0.042,0.946,80.75,284.287,972.099,0
2015093,3.781,129.733,-11.214,0.655,124.5,173.998,998.489,0
2015094,3.385,207.281,-10.669,0.704,79.5,230.126,997.054,0
2015095,1.71,182.281,-13.466,0.691,144.5,159.657,998.185,0
2015096,2.823,9.92,-5.379,0.612,146.5,191.94,997.156,0
2015097,3.624,273.866,-4.376,0.629,139.5,208.445,1001.225,0
2015098,5.134,10.92,-1.234,0.903,42.25,298.706,991.186,0
2015099,2.176,96.238,0.268,0.856,159.5,229.046,986.373,0
2015100,3.931,155.401,-1.427,0.805,164.75,222.217,990.21,0.00001
2015101,7.989,11.712,2.008,0.786,167.75,250.968,984.191,0
2015102,4.602,332.858,5.242,0.805,109.75,325.587,967.966,0
2015103,8.852,91.191,1.275,0.675,185,222.991,981.612,0
2015104,3.477,63.563,2.521,0.614,190,228.995,992.638,0
2015105,11.563,347.255,6.504,0.611,186.5,277.381,985.32,0
2015106,7.129,155.096,1.733,0.904,157.5,275.754,991.782,0
2015107,8.654,46.001,4.462,0.658,193,257.724,988.649,0
2015108,6.201,319.227,1.701,0.849,205.25,236.001,995.887,0
2015109,7.037,141.463,3.142,1,43.5,331.669,981.474,0.0023
2015110,13.731,154.003,-2.247,0.886,72.25,297.288,975.265,0.00019
2015111,13.105,180.525,-3.232,0.793,124.25,269.987,982.829,0.00002
2015112,8.262,173.011,-4.579,0.748,190.75,228.118,991.404,0
2015113,3.689,165.447,-5.003,0.742,245.75,192.523,993.526,0
2015114,6.409,304.72,0.843,0.644,141.5,274.643,986.809,0
2015115,6.031,292.898,1.377,0.742,222.25,255.032,988.929,0
2015116,6.396,307.634,2.736,0.647,208.5,262.838,994.195,0
2015117,4.167,105.883,3.466,0.94,87.75,334.944,996.877,0.00004
2015118,2.304,24.858,1.417,0.949,254,243.955,999.478,0
2015119,6.38,8.63,4.437,0.733,76.5,331.87,991.18,0
2015120,7.916,336.437,5.69,0.662,261.25,265.748,986.212,0
2015121,4.413,5.127,7.522,0.913,263.75,264.906,987.681,0
2015122,7.96,13.499,9.054,0.666,239.75,290.2,976.507,0
2015123,4.107,92.292,8.26,0.761,270.75,271.812,980.273,0
2015124,3.161,42.514,6.727,0.895,276,261.474,995.174,0
2015125,3.977,349.688,7.509,0.731,281.25,262.558,993.818,0
2015126,7.351,332.6,10.398,0.763,274.25,304.523,987.126,0
2015127,6.054,338.137,10.443,1,209,357.18,976.334,0
2015128,9.901,150.941,1.334,0.827,78.25,306.502,993.776,0.00004
2015129,4.355,234.947,2.337,0.619,162.5,275.785,1002.792,0
2015130,5.924,277.257,3.769,0.712,256.5,243.373,1002.948,0
2015131,7.543,228.195,4.974,0.726,116.5,301.167,993.615,0
2015132,2.155,167.24,6.141,0.784,257.75,261.683,996.357,0
2015133,5.363,316.643,6.847,0.686,304,253.769,1001.595,0
2015134,5.121,267.212,7.021,0.952,63,343.166,992.672,0.00003
2015135,5.083,118.662,6.762,0.902,74.25,344.865,987.956,0.00001
2015136,3.62,281.262,8.154,0.849,315.5,276.116,987.651,0
2015137,14.73,212.86,5.385,0.925,66.5,334.854,987.601,0.00005
2015138,13.5,203.279,0.83,0.774,92.75,301.822,998.433,0.00009
2015139,3.371,121.095,5.191,0.571,341,227.575,1003.047,0
2015140,5.602,18.546,7.665,0.731,331.25,263.506,994.411,0
2015141,2.595,160.2,7.135,0.791,335,255.001,995.552,0
2015142,6.863,14.948,8.029,0.807,301.25,285.868,992.645,0
2015143,6.57,52.162,11.125,0.629,331.75,291.45,991.7,0
2015144,3.243,170.288,8.947,0.842,335.75,283.676,992.033,0
2015145,1.268,190.627,9.638,0.76,332.75,295.359,984.343,0
2015146,3.694,1.077,10.007,0.798,336,295.864,981.525,0
2015147,6.838,182.693,7.853,0.78,342.75,268.972,989.28,0
2015148,0.995,67.245,7.728,0.926,61.5,351.963,989.832,0.00039
2015149,12.571,166.948,4.217,0.828,125.25,318.91,994.56,0
2015150,5.628,210.628,3.127,0.618,361.25,224.045,1005.455,0
2015151,4.096,314.687,10.962,0.527,356.25,257.563,1000.032,0
2015152,11.437,351.259,11.842,0.652,259.5,295.637,993.631,0
2015153,7.97,179.717,14.655,0.865,337.25,326.172,984.783,0
2015154,7.316,211.155,12.884,0.652,86.75,339.102,988.324,0
2015155,5.2,218.863,13.515,0.757,346,288.074,993.741,0
2015156,6.384,286.877,14.479,0.707,298.25,310.634,998.61,0
2015157,7.161,10.762,14.971,0.793,129.5,373.062,989.228,0.00004
2015158,1.343,47.189,14.507,0.974,339.5,322.091,977.979,0
2015159,3.51,81.953,15.197,0.852,333.5,319.793,980.724,0
2015160,5.291,18.393,14.362,0.992,260.25,351.263,977.316,0
2015161,4.824,122.998,14.356,0.755,356,292.925,984.497,0
2015162,1.066,160.825,14.516,0.82,352.25,304.176,986.831,0
2015163,5.309,318.198,15.801,0.715,346.75,319.837,986.007,0
2015164,10.234,10.483,16.708,0.715,343.75,332.937,980.174,0
2015165,2.183,35.618,14.455,0.771,356,295.792,985.795,0
2015166,8.57,145.415,10.507,0.708,333.5,280.537,992.047,0
2015167,5.879,59.145,13.694,0.723,356.25,288.096,994.126,0
2015168,9.699,34.989,13.237,0.848,350,299.308,987.197,0
2015169,5.258,153.911,11.205,0.822,346.25,277.575,994.821,0
2015170,4.971,344.244,14.077,0.707,311.5,300.618,990.244,0
2015171,2.427,246.333,13.576,0.931,336.5,305.342,983.232,0
2015172,3.513,5.731,15.404,0.785,344.5,319.049,982.854,0
2015173,2.547,125.688,13.741,0.989,98.25,360.812,980.539,0.00007
2015174,6.7,93.808,14.87,0.766,344.5,311.439,986.949,0
2015175,1.985,220.061,14.667,0.869,347,306.627,990.731,0
2015176,0.31,287.563,14.428,0.902,346,310.834,991.162,0
2015177,2.035,41.132,15.953,0.866,342.5,324.726,992.521,0
2015178,4.148,75.54,15.011,0.954,59.25,377.398,988.198,0.00509
2015179,4.786,150.792,14.476,0.94,336,324.793,984.995,0
2015180,3.819,183.358,16.25,0.856,333.5,337.476,983.395,0
2015181,3.747,300.468,14.594,0.81,297.25,320.683,989.306,0
2015182,3.14,8.155,17.713,0.846,332.75,332.723,987.784,0
2015183,3.729,43.302,18.336,0.846,189.5,375.636,986.04,0
2015184,4.994,176.258,16.866,0.889,334.25,315.888,987.429,0
2015185,7.24,2.447,18.327,0.804,289.25,352.728,983.928,0.00001
2015186,4.185,138.936,17.297,0.927,234.75,345.157,982.498,0
2015187,7.573,174.341,11.953,0.723,255.75,329.683,992.151,0
2015188,6.049,52.718,16.06,0.645,335.75,292.213,993.29,0
2015189,5.813,181.061,15.295,0.921,175.25,361.654,986.504,0
2015190,6.744,14.98,16.947,0.859,295,316.147,984.916,0
2015191,4.73,38.987,18.466,0.812,313.75,345.601,982.25,0
2015192,6.007,355.756,18.462,0.829,312,349.964,986.33,0
2015193,5.949,321.154,20.167,0.81,279.75,383.515,981.604,0
2015194,4.811,227.09,19.665,0.865,278,375.928,976.052,0
2015195,6.409,266.585,16.108,0.724,285.25,314.017,986.753,0
2015196,4.722,326.989,17.833,0.925,199,387.151,984.343,0.00001
2015197,2.835,246.331,18.348,0.983,292.5,362.902,979.953,0
2015198,1.115,15.161,17.064,0.94,288,340.504,979.005,0
2015199,3.687,345.79,17.507,0.932,295.75,330.305,977.62,0
2015200,6.722,62.754,16.351,0.879,246,342.086,977.88,0
2015201,8.588,141.379,14.816,0.82,300,302.679,984.806,0.00001
2015202,4.167,148.441,16.071,0.729,300.75,300.329,988.576,0
2015203,5.534,322.633,17.325,0.762,289.25,328.938,986.03,0
2015204,6.316,0.217,18.781,0.876,280.75,362.093,981.735,0
2015205,10.014,172.875,16.612,0.92,57.5,388.296,979.693,0
2015206,3.187,100.83,17.65,0.908,283.25,333.449,985.559,0
2015207,5.962,310.325,19.164,0.808,274.5,357.151,983.715,0
2015208,1.552,269.615,17.055,0.976,235,364.476,985.604,0
2015209,6.761,310.036,19.296,0.872,102.5,395.842,977.952,0.00598
2015210,11.82,103.986,16.171,0.917,119,379.156,968.063,0.0001
2015211,6.077,100.722,16.68,0.894,185.5,346.415,985.273,0
2015212,7.174,120.94,16.722,0.828,266.25,318.095,988.064,0
2015213,6.917,93.215,17.032,0.758,141.5,357.767,985.182,0
2015214,7.077,141.058,15.67,0.808,268,296.772,980.655,0
2015215,8.647,133.348,15.305,0.814,160.25,343.966,985.372,0.00001
2015216,1.628,200.461,14.904,0.718,176.5,350.09,990.691,0
2015217,3.945,309.792,17.044,0.76,237,321.887,991.163,0
2015218,9.354,285.912,16.395,0.886,125.75,379.702,984.366,0
2015219,4.965,316.721,16.992,0.967,59.25,398.938,981.505,0.00014
2015220,5.979,67.815,16.203,0.897,240,320.026,981.719,0
2015221,5.601,120.654,16.138,0.935,220.75,332.288,987.654,0
2015222,5.033,178.86,15.848,0.954,152.5,374.205,992.232,0.00001
2015223,6.96,7.402,17.925,0.812,200.25,351.973,993.593,0
2015224,7.263,28.313,18.968,0.775,206.25,345.84,987.719,0.00041
2015225,2.743,51.646,19.864,0.876,220.5,357.599,984.725,0
2015226,3.576,2.406,18.956,0.803,219.25,337.508,990.255,0
2015227,6.894,17.985,20.312,0.817,213,363.555,983.703,0
2015228,10.845,97.297,16.938,0.853,201.25,335.403,981.257,0
2015229,6.445,140.589,13.576,0.798,208.25,292.517,993.073,0
2015230,2.606,330.608,16.228,0.668,212,298.788,991.512,0
2015231,6.921,215.83,16.31,0.733,180,307.957,986.045,0
2015232,3.276,34.268,16.916,0.727,202.75,307.783,982.49,0
2015233,2.894,53.757,17.171,0.756,161,332.149,978.062,0
2015234,9.816,255.342,17.456,0.931,33.5,397.691,976.624,0.00005
2015235,18.828,154.134,14.21,0.898,21.25,372.777,972.671,0.00121
2015236,12.584,169.943,12.624,0.722,191.75,276.714,990.188,0.00002
2015237,2.221,231.422,14.801,0.691,188.75,288.095,995.871,0
2015238,5.203,343.334,16.534,0.716,175,301.494,994.743,0
2015239,3.395,17.922,17.462,0.772,174,323.822,989.258,0.00001
2015240,7.883,28.837,17.65,0.957,84.5,363.046,983.017,0
2015241,3.625,326.887,17.959,0.994,145.25,362.155,986.587,0.00001
2015242,1.751,47.609,19.33,0.769,130.25,357.944,980.91,0.00001
2015243,3.084,117.951,16.039,0.972,71,376.455,976.942,0
2015244,5.537,45.123,14.696,0.767,157.5,309.941,982.239,0.00001
2015245,7.023,352.249,16.743,0.835,148.25,354.947,982.938,0
2015246,7.273,327.111,17.168,0.878,143.5,352.382,982.853,0
2015247,5.459,264.012,16.555,0.941,37.75,404.869,984.691,0.00042
2015248,5.409,168.768,14.161,0.977,69.25,386.973,988.095,0
2015249,3.523,231.919,15.653,1,27,403.409,979.552,0.00008
2015250,7.192,43.597,13.154,0.776,137.5,284.722,986.058,0
2015251,8.486,73.283,11.395,0.799,95.75,300.717,984.584,0
2015252,8.073,117.345,9.71,0.841,126.75,272.802,986.15,0
2015253,6.16,152.875,9.809,0.893,87,316.565,992.509,0.00002
2015254,3.082,99.075,11.647,0.739,121.25,278.874,997.79,0
2015255,7.932,20.815,14.012,0.74,70.5,327.818,988.533,0
2015256,6.703,25.059,14.421,0.833,90.75,318.779,974.251,0
2015257,7.047,218.928,11.991,0.799,109,282.592,981.977,0
2015258,5.536,249.15,13.421,0.921,100,323.79,982.042,0
2015259,8.037,99.392,13.224,0.942,97.75,308.415,978.64,0
2015260,4.039,199.243,11.901,0.908,52.5,348.898,982.096,0
2015261,7.528,108.947,10.838,0.92,94.75,280.008,986.33,0
2015262,7.617,40.362,13.517,0.701,52.75,323.492,983.635,0
2015263,9.331,18.43,13.45,0.768,86.5,293.315,981.523,0
2015264,10.39,13.344,14.968,0.751,76.75,319.372,972.92,0
2015265,7.862,113.582,10.881,0.757,81.75,265.759,992.835,0
2015266,5.037,290.97,11.786,0.646,43.75,310.93,1001.347,0
2015267,6.068,303.944,12.316,0.797,67.25,307.308,998.61,0
2015268,6.487,326.494,14.229,0.951,51,365.093,998.783,0.00003
2015269,11.096,3.869,15.507,0.863,62.5,324.036,988.786,0
2015270,6.559,134.462,14.732,0.911,35.75,355.31,978.477,0.00006
2015271,8.65,145.102,10.234,0.68,59.5,259.525,988.244,0
2015272,4.799,105.607,8.611,0.679,57.5,244.112,995.848,0
2015273,8.964,348.548,11.404,0.725,30,327.032,994.501,0
2015274,8.566,325.326,9.017,0.724,33.5,307.48,1002.066,0
2015275,7.785,325.487,7.306,0.811,45.5,255.844,1007.724,0
2015276,7.919,325.956,6.483,0.833,42.25,251.054,1003.875,0
2015277,6.469,327.215,7.334,0.809,21.25,302.061,998.404,0
2015278,6.717,18.762,8.324,0.838,20.25,343.086,989.466,0
2015279,6.729,122.534,6.364,0.842,32,249.748,993.107,0
2015280,3.05,329.881,6.317,0.807,26,292.968,996.366,0
2015281,3.992,207.589,6.352,0.872,25.5,257.435,990.114,0
2015282,2.276,57.934,7.14,0.885,21.75,264.134,996.141,0.00002
2015283,7.217,25.792,8.678,0.913,22,306.05,975.714,0
2015284,5.981,21.911,9.736,0.91,15.75,318.71,966.466,0
2015285,20.98,157.786,6.225,0.906,2.25,336.921,965.963,0.00446
2015286,4.361,113.494,4.696,0.813,12,246.658,983.702,0
2015287,7.239,109.482,7.007,0.831,9.5,260.929,983.317,0
2015288,9.827,156.43,5.798,0.86,6.5,261.395,990.71,0
2015289,5.439,129.263,2.112,0.692,5,223.467,1003.707,0
2015290,3.335,156.545,2.061,0.687,2.25,224.963,1005.277,0
2015291,11.118,3.214,5.252,0.79,0,253.654,991.744,0
2015292,6.614,154.036,7.57,0.891,0,267.355,981.921,0
2015293,7.003,272.275,4.031,0.693,0,264.509,994.328,0
2015294,6.212,107.399,5.254,0.898,0,331.576,987.765,0
2015295,1.212,220.448,4.775,0.78,0,246.097,997.275,0
2015296,9.964,4.442,7.177,0.79,0,318.498,987.943,0
2015297,3.368,117.458,6.129,0.877,0,256.216,986.926,0
2015298,3.062,135.08,2.011,0.703,0,301.519,1000.939,0.00004
2015299,2.016,184.762,5.105,0.887,0,278.615,1000.938,0
2015300,8.81,295.811,5.138,0.829,0,280.342,994.068,0
2015301,4.38,124.33,4.321,0.888,0,326.536,975.256,0.00002
2015302,9.879,184.706,3.889,0.834,0,319.025,982.816,0
