Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  Stn505,,,,,,,
Station Lat,itude and Long,itude:,53.3961 -98.,4747,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2013001,2.79,144.925,-17.272,0.76,0,242.409,986.216,0.00002
2013002,6.402,211.938,-15.568,0.79,0,242.677,991.245,0.00001
2013003,8.965,28.128,-13.005,0.814,0,239.562,982.587,0
2013004,9.561,157.491,-8.543,0.748,0,237.881,988.179,0.00002
2013005,3.215,51.066,-16.412,0.814,0,212.961,992.482,0
2013006,3.797,10.547,-13.353,0.842,0,240.739,992.045,0.00001
2013007,9.331,158.894,-12.444,0.826,0,258.791,970.75,0.00043
2013008,6.322,351.19,-10.695,0.897,0,212.027,973.306,0
2013009,6.57,163.209,-11.192,0.808,0,238.075,985.458,0
2013010,5.816,304.104,-6.608,0.89,0,276.625,980.387,0
2013011,12.422,202.492,-18.096,0.757,0,217.753,992.541,0.00001
2013012,6.453,169.21,-25.999,0.745,0,153.119,993.43,0
2013013,6.921,140.669,-20.988,0.77,0,187.112,993.055,0
2013014,4.373,121.787,-23.978,0.715,0,191.021,995.46,0
2013015,9.693,24.232,-20.299,0.755,0,200.355,980.672,0.00002
2013016,7.386,166.775,-28.649,0.675,0,137.353,988.838,0
2013017,7.348,117.066,-28.692,0.682,0,122.623,998.192,0
2013018,4.037,296.311,-23.303,0.729,0,206.34,989.632,0
2013019,9.12,199.915,-25.74,0.688,0,203.701,993.026,0.00005
2013020,10.412,154.833,-24.069,0.621,0,194.588,1000.708,0
2013021,9.429,143.221,-22.313,0.644,0,203.104,995.498,0
2013022,6.587,88.979,-25.831,0.744,0,166.775,994.503,0
2013023,7.883,166.505,-29.476,0.636,0,120.227,1004.616,0
2013024,5.841,350.27,-27.716,0.722,0,188.457,1005.219,0
2013025,4.075,172.224,-26.511,0.717,0,185.94,996.715,0
2013026,8.308,357.333,-22.031,0.74,0,205.217,991.57,0
2013027,0.328,45.106,-15.419,0.729,0,244.491,989.052,0.00002
2013028,3.483,281.944,-11.294,0.86,0,258.631,982.404,0.00006
2013029,5.987,178.602,-16.273,0.794,0,198.299,983.348,0.00001
2013030,7.551,154.38,-17.414,0.739,0,223.946,989.344,0.00001
2013031,9.481,150.234,-24.574,0.648,0,203.648,995.538,0
2013032,2.559,49.599,-30.216,0.692,0,132.321,991.783,0
2013033,3.863,59.536,-24.615,0.655,0,204.251,989.84,0.00003
2013034,5.84,124.072,-27.193,0.727,0,133.094,991.117,0
2013035,2.272,85.222,-28.384,0.73,0,138.982,987.251,0
2013036,3.496,169.943,-28.701,0.693,0,147.812,989.305,0
2013037,4.809,257.852,-29.204,0.687,0,142.655,993.379,0
2013038,3.447,306.926,-27.379,0.655,0,152.889,1001.077,0
2013039,5.516,14.917,-13.901,0.841,0,247.729,992.404,0
2013040,5.021,90.746,-9.401,0.901,0,261.967,982.251,0
2013041,8.778,229.31,-7.4,0.868,0,278.079,989.965,0.00008
2013042,1.325,57.174,-19.581,0.829,0,193.807,989.496,0
2013043,6.644,99.427,-7.171,0.88,0,262.034,974.7,0
2013044,4.879,196.99,-12.587,0.837,0,202.865,977.805,0
2013045,3.766,116.421,-12.912,0.766,0,240.675,992.181,0
2013046,3.634,129.881,-16.78,0.789,0,207.204,999.774,0.00001
2013047,9.11,341.939,-16.37,0.816,0,203.942,987.818,0
2013048,5.915,283.47,-8.137,0.896,0,276.212,975.286,0.00033
2013049,10.41,195.923,-22.575,0.702,0,155.972,997.049,0
2013050,4.855,203.111,-28.844,0.733,0,128.266,1008.548,0
2013051,6.002,320.846,-24.606,0.669,0,167.702,1008.793,0
2013052,9.064,349.536,-14.797,0.775,0,247.118,1001.044,0.00016
