Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  Stn502,,,,,,,
Station Lat,itude and Long,itude:,51.6950 -96.,8042,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2015001,5.27,148.748,-20.867,0.72,0,143.239,984.651,0
2015002,2.125,346.955,-25.474,0.814,0,146.939,989.818,0
2015003,3.522,181.898,-26.654,0.721,0,136.829,999.439,0
2015004,5.283,134.681,-27.985,0.601,0,163.565,1003.099,0.00001
2015005,4.154,48.288,-26.105,0.745,0,156.053,993.559,0
2015006,6.607,159.515,-18.759,0.708,0,216.662,996.746,0.00001
2015007,6.123,119.024,-21.066,0.714,0,210.228,1013.781,0.00001
2015008,4.768,125.631,-17.798,0.788,0,220.111,982.961,0.00002
2015009,9.678,140.378,-18.83,0.688,0,212.751,992.462,0.00002
2015010,3.574,140.126,-18.652,0.776,0,186.96,986.249,0.00001
2015011,3.6,74.867,-25.114,0.753,0,144.249,992.761,0
2015012,1.57,355.371,-30.385,0.78,0,135.694,1011.972,0
2015013,6.22,4.601,-21.346,0.763,0,184.855,994.952,0
2015014,1.289,306.984,-15.615,0.86,0,227.349,991.881,0.00001
2015015,8.766,153.949,-15.2,0.751,0,218.663,986.656,0
2015016,3.289,301.89,-23.668,0.743,0,159.491,994.324,0
2015017,4.949,140.888,-8.528,0.882,0,271.714,967.994,0.00006
2015018,3.164,198.132,-17.292,0.756,0,192.128,984.632,0
2015019,3.196,309.987,-16.619,0.827,0,200.172,984.738,0.00001
2015020,1.175,143.524,-9.839,0.901,0,260.522,988.134,0.00001
2015021,3.274,146.066,-17.088,0.778,0,217.536,997.553,0.00001
2015022,7.674,1.578,-10.401,0.869,0,256.009,984.416,0.00001
2015023,4.369,134.175,0.744,0.966,0,312.389,980.083,0.00003
2015024,3.488,240.688,-12.944,0.77,0,198.349,983.056,0
2015025,2.693,356.276,-15.17,0.767,0,223.526,990.61,0
2015026,5.645,160.243,-5.132,0.898,0,283.889,977.36,0.00001
2015027,4.763,355.893,-6.994,0.92,0,257.73,985.331,0
2015028,3.664,231.568,-2.212,0.939,0,301.449,986.281,0.00046
2015029,8.583,154.545,-18.397,0.745,0,192.216,1001.647,0
2015030,4.453,356.372,-16.582,0.803,0,230.117,999.13,0
2015031,4.057,168.067,-25.141,0.727,0,145.682,1005.407,0.00001
2015032,2.87,58.362,-29.777,0.751,0,133.259,1007.696,0
2015033,3.383,113.73,-19.751,0.802,0,193.966,987.568,0
2015034,2.86,93.34,-21.174,0.791,0,178.223,988.215,0
2015035,7.152,144.759,-23.306,0.667,0,196.267,997.229,0.00001
2015036,4.15,40.373,-15.635,0.802,0,244.646,980.132,0
2015037,2.451,200.113,-20.88,0.694,0,208.702,994.554,0
2015038,5.517,269.092,-17.856,0.714,0,251.736,984.073,0.00069
2015039,2.755,249.723,-23.153,0.761,0,172.794,991.993,0
2015040,3.456,166.611,-20.13,0.718,0,237.346,1000.658,0.00006
2015041,4.451,268.229,-13.255,0.775,0,260.923,992.445,0.00014
2015042,6.406,159.25,-19.64,0.743,0,217.809,1000.705,0.00002
2015043,2.086,3.131,-24.947,0.77,0,200.705,1007.555,0
2015044,5.532,151.614,-17.485,0.78,0,205.648,990.592,0
2015045,3.401,168.538,-29.351,0.703,0,124.44,1013.198,0
2015046,6.252,0.115,-21.508,0.707,0,206.397,1002.643,0.00001
2015047,5.054,144.124,-18.499,0.802,0,192.158,993.139,0.00001
2015048,6.611,147.208,-17.88,0.763,0,220.459,987.988,0.00002
2015049,3.831,146.605,-26.764,0.741,0,140.422,996.642,0
2015050,2.163,348.768,-29.036,0.807,0,156.825,997.789,0
2015051,1.461,136.657,-15.316,0.84,0,244.779,979.189,0.00003
2015052,3.617,140.489,-27.047,0.759,0,150.663,995.891,0
2015053,3.212,119.41,-30.913,0.722,0,123.883,1010.021,0
2015054,6.98,6.702,-23.879,0.696,0,219.798,989.842,0
2015055,8.373,154.862,-18.75,0.715,0,149.098,984.16,0
2015056,3.343,151.177,-26.605,0.76,0,141.385,995.221,0
2015057,3.521,117.664,-25.719,0.763,0,143.217,1004.884,0
2015058,4.035,55.243,-22.314,0.725,0,169.33,997.865,0
2015059,3.136,351.357,-18.408,0.772,0,198.856,993.688,0
2015060,3.877,124.029,-11.641,0.873,0,253.104,989.416,0.00002
2015061,3.628,356.85,-18.867,0.818,0,165.917,994.085,0
2015062,10.053,145.961,-15.513,0.708,0,188.79,979.974,0
2015063,5.464,168.288,-19.551,0.681,0,216.682,991.82,0.00001
2015064,3.555,11.512,-26.343,0.738,0,146.704,994.363,0
2015065,3.201,95.987,-16.441,0.873,0,179.946,985.814,0
2015066,1.854,116.534,-20.576,0.855,0,171.186,992.733,0
2015067,3.393,27.5,-8.789,0.906,0,257.273,984.547,0.00002
2015068,4.387,333.86,-7.222,0.916,0,220.351,979.996,0
2015069,3.453,135.532,-2.437,0.96,3,297.072,977.308,0
2015070,1.856,156.366,-15.081,0.885,6.75,193.792,998.554,0
2015071,5.023,280.337,-2.354,0.737,7.5,294.581,992.733,0
2015072,1.31,136.609,-1.809,0.969,10,306.994,991.933,0.00024
2015073,0.948,315.685,-10.108,0.954,18,222.557,994.099,0
2015074,6.002,49.492,2.657,0.931,23.5,266.426,969.088,0
2015075,5.913,150.686,-7.361,0.798,21.25,238.581,992.029,0
2015076,2.606,101.024,-13.924,0.772,30,187.86,1002.906,0.00001
2015077,1.681,355.433,-16.087,0.743,36,183.074,998.121,0
2015078,4.007,20.965,-5.232,0.891,38.25,221.112,985.911,0
2015079,2.633,152.13,-15.516,0.85,47.25,177.139,990.619,0
2015080,2.831,81.133,-20.394,0.725,52.75,156.174,1001.184,0
2015081,1.371,271.281,-18.2,0.775,57.25,173.139,1002.98,0
2015082,3.271,304.129,-7.529,0.724,52.75,224.42,995.078,0
2015083,1.833,281.176,-2.926,0.949,28,291.304,987.289,0.00003
2015084,6.794,173.622,-1.065,0.935,35,299.358,981.238,0.0002
2015085,2.198,184.102,-18.338,0.754,82.5,159.03,999.347,0
2015086,3.554,346.149,-14.695,0.732,80,193.768,995.842,0
2015087,5.071,353.717,-8.532,0.773,79,224.03,986.681,0
2015088,7.801,150.356,-1.57,0.941,65,302.034,977.203,0.00003
2015089,3.037,318.422,-4.256,0.881,77.75,252.425,982.174,0
2015090,3.887,146.852,-2.567,0.945,47.75,298.295,984.311,0.00002
2015091,4.883,293.989,0.954,0.868,68.75,299.201,974.038,0
2015092,5.687,157.093,-1.46,0.921,69,300.662,971.333,0.00003
2015093,1.516,110.795,-18.827,0.773,132,153.623,997.2,0
2015094,1.827,124.345,-18.491,0.829,136.25,159.001,996.14,0
2015095,0.924,68.048,-20.638,0.79,144.5,153.282,996.849,0
2015096,0.713,259.688,-15.11,0.708,147.25,181.065,995.953,0
2015097,1.321,258.235,-13.954,0.701,152.5,183.445,1000.975,0
2015098,2.11,0.106,-3.294,0.923,109,259.331,989.358,0
2015099,1.488,343.353,-5.746,0.934,157.75,223.671,984.607,0
2015100,1.913,117.302,-8.408,0.893,161.75,215.467,989.203,0
2015101,4.32,352.737,0.67,0.8,167.75,247.468,981.605,0
2015102,3.028,348.042,5.442,0.854,78.75,330.337,966.286,0
2015103,4.423,77.405,0.734,0.643,184.75,222.866,978.674,0
2015104,0.863,116.879,0.049,0.738,188,226.62,991.045,0
2015105,7.16,344.99,7.217,0.641,138.75,290.506,983.039,0
2015106,3.628,141.195,0.371,0.934,192.25,251.629,991.134,0
2015107,4.262,58.483,5.591,0.695,92.75,313.224,986.001,0
2015108,3.556,322.935,2.141,0.869,181.25,247.126,994.473,0
2015109,5.894,137.86,0.706,0.973,61.75,317.794,980.779,0.00026
2015110,6.639,167.866,-1.812,0.912,63.5,297.663,975.218,0.00017
2015111,6.81,181.635,-3.64,0.72,126.75,259.237,983.587,0
2015112,4.652,178.142,-5.688,0.674,175,229.493,991.178,0
2015113,1.443,190.397,-6.232,0.674,243.75,191.648,992.464,0
2015114,3.251,302.012,0.882,0.617,128.5,279.143,986.13,0
2015115,2.393,280.729,1.487,0.633,240.5,242.407,988.499,0
2015116,3.281,292.724,3.195,0.619,188.5,266.088,993.633,0
2015117,2.725,128.695,3.157,0.874,98.25,311.694,995.768,0
2015118,0.82,40.082,1.542,0.905,257.5,240.955,997.931,0
2015119,2.819,318.19,5.65,0.738,256.25,266.87,989.61,0
2015120,5.39,337.636,7.426,0.62,265,264.873,984.259,0
2015121,3.198,358.66,7.981,0.881,265.5,264.156,985.408,0
2015122,3.643,338.961,9.993,0.652,252.25,283.075,974.062,0
2015123,1.776,90.446,8.228,0.762,258,272.812,978.601,0
2015124,2.935,128.274,7.106,0.819,280.5,252.599,993.76,0
2015125,3.723,257.543,7.819,0.635,280,263.183,993.748,0
2015126,4.929,339.485,11.798,0.702,246.75,310.023,985.868,0
2015127,2.433,13.455,10.993,1,31.25,379.805,975.295,0.00128
2015128,5.72,184.511,-1.351,0.789,223,281.752,993.042,0.00003
2015129,1.949,229.908,0.989,0.596,199.75,253.035,1002.221,0
2015130,4.101,299.396,3.606,0.616,306,234.248,1002.518,0
2015131,4.283,226.504,4.545,0.631,239.25,258.542,994.787,0
2015132,0.83,156.317,5.753,0.748,218.25,279.183,995.248,0
2015133,2.876,320.467,6.791,0.693,314.75,250.519,1000.666,0
2015134,2.186,243.863,7.287,0.836,219.75,312.791,992.961,0.00006
2015135,3.581,127.286,6.335,0.96,87.75,344.365,986.198,0.00014
2015136,2.815,289.849,8.469,0.875,253.75,287.116,986.354,0.00001
2015137,9.779,220.962,0.353,0.928,43.5,309.104,992.054,0.00052
2015138,7.299,199.44,0.23,0.644,203,269.572,999.573,0
2015139,3.458,98.666,4.887,0.616,342.25,228.075,1001.437,0
2015140,1.824,356.654,9.065,0.65,333.75,267.006,992.622,0
2015141,1.156,200.52,7.469,0.698,338,253.751,994.622,0
2015142,3.058,334.414,9.183,0.749,304,297.868,990.583,0
2015143,3.577,57.117,13.348,0.542,213.25,340.325,989.114,0
2015144,1.187,190.293,10.246,0.683,341.25,275.051,991.596,0
2015145,1.33,216.939,12.157,0.566,344.5,282.859,983.663,0
2015146,1.34,339.137,12.103,0.58,338.5,300.614,979.946,0
2015147,3.484,195.11,8.06,0.666,350,256.847,989.468,0
2015148,1.379,302.276,8.012,0.73,179.75,315.213,988.824,0
2015149,7.787,167.791,2.964,0.815,141,313.035,994.052,0.00001
2015150,2.093,209.711,1.976,0.607,364.5,220.42,1004.541,0
2015151,3.781,310.565,8.994,0.653,360.25,252.688,999.306,0
2015152,8.412,355.321,12.425,0.66,249.5,301.387,991.412,0
