Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Long,itude:,52.5500 -97.,6390,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2012001,15.028,150.524,-8.811,0.805,0,263.979,989.835,0.00004
2012002,4.861,161.074,-18.213,0.773,0,161.153,1009.177,0
2012003,10.384,356.206,-11.869,0.774,0,240.725,975.944,0
2012004,4.082,125.094,-6.851,0.841,0,264.909,986.272,0
2012005,6.462,342.518,-5.892,0.892,0,254.919,972.159,0
2012006,6.233,186.493,-9.599,0.86,0,262.414,975.073,0.00017
2012007,2.486,187.744,-15.587,0.774,0,217.767,990.189,0.00002
2012008,7.314,352.988,-13.075,0.871,0,187.991,989.396,0
2012009,8.678,113.585,-2.537,0.911,0,226.876,977.732,0
2012010,3.317,88.758,-1.794,0.968,0,304.619,974.073,0.00002
2012011,12.797,166.847,-17.962,0.717,0,238.091,991.061,0.00002
2012012,5.267,157.414,-21.957,0.778,0,158.239,996.643,0
2012013,6.738,344.409,-20.051,0.77,0,198.927,988.148,0
2012014,3.909,304.737,-13.506,0.762,0,251.339,987.473,0.00003
2012015,6.506,292.475,-13.871,0.82,0,240.997,983.891,0.00005
2012016,10.875,161.158,-16.828,0.75,0,211.264,989.869,0
2012017,6.942,140.009,-23.845,0.621,0,202.68,998.89,0.00001
2012018,3.169,86.906,-31.001,0.698,0,128.148,991.056,0
2012019,7.268,80.264,-27.936,0.698,0,132.539,984.927,0
2012020,6.197,84.324,-24.96,0.735,0,163.71,988.142,0
2012021,5.34,11.462,-20.631,0.742,0,196.801,987.74,0
2012022,7.363,266.175,-14.048,0.817,0,253.884,978.361,0.00005
2012023,5.024,180.771,-15.573,0.828,0,218.684,985.599,0
2012024,4.917,339.717,-13.546,0.849,0,237.365,988.738,0
2012025,7.023,349.747,-10.771,0.839,0,203.56,979.597,0
2012026,13.312,125.029,-7.198,0.873,0,278.783,971.696,0.00008
2012027,9.565,114.128,-10.924,0.848,0,185.07,976.978,0
2012028,7.536,151.174,-12.447,0.769,0,235.883,983.972,0
2012029,2.736,132.246,-22.291,0.795,0,179.185,991.624,0
2012030,7.662,316.812,-11.053,0.812,0,262.158,977.556,0.0002
2012031,2.601,269.9,-9.622,0.838,0,272.732,979.953,0.00001
2012032,1.494,292.134,-8.551,0.914,0,266.586,985.954,0
2012033,1.485,182.637,-10.541,0.918,0,241.597,995.476,0
2012034,3.62,38.002,-11.971,0.909,0,207.077,1004.487,0
2012035,4.772,96.042,-9.637,0.878,0,214.691,1001.428,0
2012036,6.331,68.899,-6.346,0.819,0,217.867,991.417,0
2012037,9.93,180.625,-10.855,0.798,0,228.59,999.997,0
2012038,6.497,78.465,-17.791,0.794,0,170.764,1010.008,0
2012039,8.094,87.223,-12.308,0.795,0,184.708,993.773,0
2012040,8.037,174.349,-21.662,0.716,0,154.395,992.255,0
2012041,6.759,139.429,-26.374,0.721,0,139.818,1010.692,0
2012042,7.824,110.566,-23.305,0.711,0,171.342,1007.39,0.00001
2012043,5.354,57.029,-18.801,0.687,0,171.431,994.017,0
2012044,4.091,33.957,-15.971,0.748,0,188.876,978.249,0
2012045,1.254,150.838,-17.646,0.893,0,194.508,975.744,0
2012046,4.556,105.436,-10.697,0.88,0,226.872,981.47,0
2012047,2.723,143.073,-15.712,0.879,0,203.659,989.262,0
2012048,3.822,164.441,-9.709,0.868,0,257.933,994.206,0.00002
2012049,5.816,353.766,-13.273,0.837,0,196.304,990.716,0
2012050,4.402,334.932,-12.29,0.887,0,200.501,985.601,0
2012051,5.084,344.343,-4.266,0.898,0,289.102,980.306,0
2012052,7.579,189.245,-7.458,0.877,0,285.96,977.409,0.00002
2012053,1.525,270.136,-9.857,0.839,0,263.705,971.511,0.00003
2012054,5.017,297.199,-6.762,0.859,0,278.229,972.323,0.00035
2012055,8.828,175.133,-12.606,0.807,0,245.941,987.166,0.00004
2012056,0.859,189.411,-14.813,0.822,0,230.698,996.369,0.00001
2012057,6.232,239.013,-17.22,0.711,0,218.526,997.071,0
2012058,1.419,132.704,-25.031,0.766,0,151.269,1002.197,0
2012059,4.679,17.43,-18.504,0.797,0,183.077,993.06,0
2012060,3.098,293.537,-15.475,0.783,0,189.845,988.165,0
2012061,2.563,270.5,-9.688,0.81,0,244.307,981.158,0
2012062,8.896,218.534,-10.476,0.827,0,245.4,984.617,0.00001
2012063,5.5,224.438,-16.036,0.72,0,238.104,988.629,0
2012064,2.561,333.899,-12.492,0.816,0,246.975,986.177,0
2012065,5.29,355.07,-9.78,0.857,0,249.114,982.19,0.00003
2012066,8.867,250.214,-6.367,0.894,0,270.108,978.342,0.00008
2012067,6.307,168.235,-18.086,0.796,0,169.414,985.979,0
2012068,7.96,141.883,-10.118,0.838,0,238.026,985.782,0.00007
2012069,6.282,23.18,-16.07,0.716,0,178.994,1001.055,0
2012070,5.469,50.801,-6.019,0.821,1,225.638,975.382,0
2012071,4.466,292.255,-0.931,0.844,4.75,293.405,983.766,0
2012072,8.981,341.643,1.2,0.967,7.75,289.309,971.494,0
2012073,5.633,56.906,-6.295,0.807,12.25,206.228,981.675,0
2012074,10.121,51.287,0.444,0.834,19.25,232.858,972.22,0
2012075,6.459,37.755,-6.123,0.738,19.75,209.645,987.046,0
2012076,10.135,321.664,1.452,0.852,18,298.13,980.392,0
2012077,7.865,73.971,1.079,0.887,27.75,244.112,975.313,0
2012078,10.725,269.216,2.205,0.886,27.25,296.661,978.468,0
2012079,6.876,322.357,3.876,1,23,341.923,968.987,0
2012080,9.551,31.93,1.279,0.842,41,235.175,971.965,0
2012081,9.718,49.64,1.579,0.765,45.25,240.111,974.79,0
2012082,3.39,283.245,-2.484,0.759,50.25,231.851,993.059,0
2012083,7.311,248.119,-1.338,0.833,53.25,254.444,990.742,0
2012084,8.231,186.22,-5.473,0.875,23.5,292.704,990.151,0.00019
2012085,4.381,158.57,-12.582,0.818,70,178.593,1002.799,0
2012086,9.793,334.757,-5.885,0.74,65.5,246.036,997.135,0
2012087,5.271,243.395,-0.468,0.955,32.5,311.958,975.322,0.00013
2012088,5.58,211.263,-5.282,0.897,72.75,217.792,993.111,0
2012089,9.337,302.469,-3.561,0.817,69.25,262.335,992.499,0
2012090,8.482,329.308,0.363,0.95,65.5,296.137,982.519,0.00005
2012091,7.52,13.873,2.778,0.996,53,334.838,968.025,0.00005
2012092,3.704,277.998,0.325,0.718,103.75,238.56,979.783,0
2012093,2.318,9.882,1.676,0.918,37.75,328.038,983.38,0.00046
2012094,7.199,118.839,-2.266,0.794,121.5,214.506,996.351,0
2012095,5.057,287.765,-0.843,0.754,125.75,224.715,996.072,0
2012096,7.831,306.078,-0.726,0.793,130,228.133,994.336,0
2012097,8.885,331.403,2.207,0.764,130,257.319,991.376,0
2012098,9.319,329.471,3.867,0.714,97.75,288.372,979.66,0
2012099,13.596,109.119,-3.335,0.835,72.25,282.512,984.186,0.00009
2012100,10.886,144.443,-7.808,0.728,77.75,259.532,994.135,0.00003
2012101,6.394,166.611,-6.913,0.828,164,194.394,1002.628,0
2012102,0.963,121.725,-6.133,0.734,168.75,203.079,1004.879,0
2012103,5.292,319.614,-0.379,0.701,172.25,225.972,994.384,0
2012104,6.765,294.774,2.58,0.729,124.75,271.63,986.928,0
2012105,3.37,261.889,1.858,0.995,35.75,333.052,976.374,0.00006
2012106,10.536,214.122,-7.234,0.778,157,251.025,989.839,0.00002
2012107,6.33,227.554,-10.398,0.646,205.5,170.296,996.007,0
2012108,2.488,340.26,-5.004,0.661,203,201.85,993.168,0
2012109,4.656,194.834,-0.915,0.683,116.75,277.863,992.15,0
2012110,4.748,171.439,-4.121,0.667,217.75,198.16,995.651,0
2012111,3.132,292.629,-0.737,0.646,223,207.078,997.542,0
2012112,5.339,287.168,-0.46,0.64,227.25,215.075,990.662,0
2012113,4.917,13.562,1.112,0.728,187.25,256.339,994.636,0
2012114,3.703,15.13,2.421,0.823,135,309.733,991.527,0
2012115,5.764,262.949,2.329,0.913,159.5,286.527,986.487,0
2012116,6.271,224.672,1.849,0.821,92.75,306.39,983.89,0.00001
2012117,3.901,207.157,-5.077,0.703,251.25,201.461,1003.127,0
2012118,8.479,288.347,-2.159,0.607,255.25,210.435,999.371,0
2012119,7.106,295.722,-0.4,0.656,265.25,214.528,997.5,0
2012120,6.836,340.927,2.019,0.786,255.75,253.659,992.846,0
2012121,6.027,33.984,2.416,0.972,198.5,301.214,977.5,0.00001
2012122,6.43,248.384,6.36,0.92,138.5,313.204,977.507,0
2012123,11.171,236.966,4.273,0.848,112.25,312.272,978.98,0.00003
2012124,6.936,250.04,1.838,0.754,252.25,234.508,992.706,0
2012125,7.072,282.77,4.558,0.683,266.75,236.667,996.886,0
2012126,4.171,292.722,6.457,0.833,122.5,322.789,993.144,0
2012127,6.886,280.765,7.366,0.856,142.75,305.102,992.695,0
2012128,5.911,227.251,7.494,0.982,55.5,347.288,982.804,0
2012129,2.663,220.548,6.443,0.753,295.75,244.274,994.949,0
2012130,5.945,18.738,7.756,0.74,205.25,294.786,988.046,0
2012131,9.254,348.919,9.155,0.744,210.75,306.637,974.791,0
2012132,7.021,82.498,7.093,0.774,276.25,283.896,984.27,0
2012133,6.178,92.986,7.12,0.771,279.75,268.36,991.855,0
2012134,3.35,54.384,8.176,0.778,240,293.427,984.213,0
2012135,2.193,323.971,6.883,0.78,200,305.835,987.03,0
2012136,5.481,151.363,6.126,0.842,315.75,247.013,994.245,0
