TIME	WIND_SPEED	WIND_DIR	AIR_TEMP	REL_HUM	SOLAR_RAD	LW_RAD_IN	ATM_PRESS	RAIN	SNOW
2016001	6.235	146.267	-9.048	0.876	0.0	197.669	984.415	0.0	0.0
2016002	4.935	122.096	-7.243	0.875	0.0	217.852	983.549	0.0	0.0
2016003	3.232	116.075	-10.439	0.921	0.0	202.059	996.436	0.0	0.0
2016004	5.407	352.122	-11.471	0.879	0.0	213.083	994.996	0.0	0.0
2016005	3.692	135.989	-12.285	0.889	0.0	196.649	984.336	0.0	0.0
2016006	2.054	143.508	-11.762	0.886	0.0	220.645	993.096	0.0	0.001
2016007	2.038	246.646	-11.206	0.818	0.0	256.958	992.347	0.0	0.001
2016008	6.375	159.391	-15.883	0.778	0.0	236.293	991.938	0.0	0.0018
2016009	5.473	163.016	-20.947	0.688	0.0	209.607	996.522	0.0	0.0026
2016010	2.002	1.844	-25.334	0.769	0.0	148.201	991.958	0.0	0.0026
2016011	2.941	132.364	-21.726	0.724	0.0	215.716	984.366	0.0	0.005
2016012	3.707	114.708	-20.788	0.764	0.0	194.994	988.803	0.0	0.005
2016013	0.88	39.686	-20.89	0.798	0.0	183.297	982.234	0.0	0.005
2016014	1.349	2.105	-22.918	0.819	0.0	189.252	977.352	0.0	0.005
2016015	3.179	138.969	-25.277	0.792	0.0	149.678	985.797	0.0	0.005
2016016	5.905	162.492	-21.987	0.691	0.0	209.67	990.186	0.0	0.0058000000000000005
2016017	2.174	103.699	-23.044	0.752	0.0	207.922	994.706	0.0	0.006600000000000001
2016018	2.885	96.407	-23.403	0.795	0.0	192.207	999.296	0.0	0.007400000000000001
2016019	3.991	338.116	-22.658	0.788	0.0	168.111	999.371	0.0	0.007400000000000001
2016020	2.537	338.687	-15.056	0.835	0.0	248.232	989.213	0.0	0.016200000000000003
2016021	2.871	137.391	-15.452	0.844	0.0	225.762	1001.136	0.0	0.016200000000000003
2016022	5.038	4.527	-15.961	0.834	0.0	214.448	1000.527	0.0	0.016200000000000003
2016023	5.038	348.029	-6.05	0.904	0.0	290.037	976.267	0.0	0.029200000000000004
2016024	2.229	237.231	-9.54	0.879	0.0	257.155	986.709	0.0	0.029700000000000004
2016025	2.887	130.171	-7.092	0.911	0.0	275.259	983.755	0.0	0.032200000000000006
2016026	4.338	144.915	-9.83	0.855	0.0	258.975	990.735	0.0	0.03320000000000001
2016027	4.866	347.39	-5.485	0.915	0.0	290.263	968.629	0.0	0.05820000000000001
2016028	2.375	183.685	-17.378	0.805	0.0	168.274	988.03	0.0	0.05820000000000001
2016029	8.212	350.043	-5.921	0.871	0.0	285.94	966.539	0.0	0.059800000000000006
2016030	5.642	119.734	-1.437	0.915	0.0	297.765	960.118	0.0	0.062000000000000006
2016031	2.76	139.037	-15.935	0.843	0.0	206.327	976.219	0.0	0.062000000000000006
2016032	1.743	148.682	-11.926	0.841	0.0	256.142	986.629	0.0	0.063
2016033	0.896	322.918	-22.375	0.862	0.0	169.234	996.173	0.0	0.063
2016034	2.99	334.085	-17.299	0.818	0.0	204.237	989.472	0.0	0.0638
2016035	3.276	137.501	-13.682	0.843	0.0	222.608	990.232	0.0	0.0638
2016036	1.834	336.221	-14.234	0.87	0.0	237.13	994.685	0.0	0.06459999999999999
2016037	4.459	294.89	-12.168	0.832	0.0	266.371	984.509	0.0	0.0716
2016038	4.375	185.548	-6.971	0.866	0.0	277.817	973.101	0.0	0.07339999999999999
2016039	5.67	155.669	-17.173	0.783	0.0	172.783	996.087	0.0	0.07339999999999999
2016040	2.863	156.821	-23.926	0.792	0.0	147.179	999.661	0.0	0.07339999999999999
2016041	1.318	286.544	-22.759	0.726	0.0	194.563	995.28	0.0	0.07339999999999999
2016042	3.135	134.085	-21.537	0.805	0.0	184.981	996.753	0.0	0.07339999999999999
2016043	4.505	154.09	-26.741	0.717	0.0	153.993	1007.201	0.0	0.07339999999999999
2016044	3.37	341.194	-28.776	0.782	0.0	140.64	1006.098	0.0	0.07339999999999999
2016045	7.113	357.674	-13.115	0.822	0.0	255.603	981.73	0.0	0.1038
2016046	3.251	122.625	-8.939	0.905	0.0	270.126	973.36	0.0	0.1043
2016047	2.827	133.829	-22.944	0.804	0.0	149.86	989.216	0.0	0.1043
2016048	4.44	351.347	-17.527	0.803	0.0	220.811	990.721	0.0	0.1051
2016049	4.755	341.523	-4.939	0.927	0.0	280.742	981.358	0.0	0.1053
2016050	2.268	253.596	-3.314	0.953	0.0	283.332	965.35	0.0	0.1053
2016051	7.736	147.949	-11.268	0.779	0.0	191.185	983.764	0.0	0.1053
2016052	1.058	51.722	-24.822	0.831	0.0	150.884	999.948	0.0	0.1053
2016053	3.457	330.735	-11.538	0.845	0.0	261.97	989.148	0.0	0.1073
2016054	1.513	136.075	-10.183	0.9	0.0	261.295	989.039	0.0	0.10880000000000001
2016055	2.727	337.415	-9.012	0.885	0.0	277.511	990.768	0.0	0.10930000000000001
2016056	3.21	128.042	-14.646	0.9	0.0	174.741	998.81	0.0	0.10930000000000001
2016057	2.932	46.949	-10.413	0.905	0.0	208.048	982.964	0.0	0.10930000000000001
2016058	5.644	196.886	-5.755	0.749	0.0	275.72	977.915	0.0	0.10930000000000001
2016059	1.497	152.119	-14.302	0.726	0.0	228.158	982.733	0.0	0.10930000000000001
2016060	5.312	138.907	-25.095	0.685	0.0	141.609	992.945	0.0	0.10930000000000001
2016061	2.988	89.988	-22.833	0.768	0.0	150.219	993.723	0.0	0.10930000000000001
2016062	1.044	235.476	-26.578	0.769	0.0	150.54	990.822	0.0	0.10930000000000001
2016063	1.9	114.828	-27.665	0.822	0.0	148.818	994.993	0.0	0.10930000000000001
2016064	2.993	302.512	-13.999	0.787	0.0	226.907	987.129	0.0	0.10930000000000001
2016065	3.198	332.829	-9.474	0.909	0.0	228.708	990.988	0.0	0.10980000000000001
2016066	2.441	334.458	-4.895	0.953	0.0	269.434	970.601	0.0	0.11000000000000001
2016067	3.901	247.976	-6.665	0.919	0.0	231.462	982.434	0.0	0.11000000000000001
2016068	1.575	192.311	-0.732	0.979	0.0	311.864	976.688	0.0	0.11740000000000002
2016069	1.403	119.558	-17.151	0.872	3.5	192.033	988.159	0.0	0.11740000000000002
2016070	1.986	331.131	-10.948	0.915	6.25	225.249	991.383	0.0	0.11790000000000002
2016071	6.555	6.653	2.041	0.965	4.5	327.813	978.842	0.0	0.10087595972307373
2016072	1.502	118.949	-7.367	0.926	14.0	226.404	988.516	0.0	0.10087595972307373
2016073	5.774	335.197	1.205	0.942	18.75	262.982	975.603	0.0	0.09137639471248812
2016074	3.989	21.966	-2.981	0.736	22.5	219.19	972.071	0.0	0.09137639471248812
2016075	5.85	260.177	1.253	0.821	24.5	278.509	975.051	0.0	0.08144380942250412
2016076	1.251	124.858	-0.675	0.978	14.25	311.359	979.384	0.0	0.08304380942250413
2016077	3.815	229.865	-7.686	0.753	32.0	214.794	987.704	0.0	0.08304380942250413
2016078	2.87	259.99	-11.287	0.817	41.0	189.736	998.515	0.0	0.08304380942250413
2016079	1.656	113.671	-11.584	0.905	40.25	213.048	999.816	0.0	0.08304380942250413
2016080	2.686	160.699	-11.202	0.912	50.75	190.679	1000.026	0.0	0.08304380942250413
2016081	1.835	233.798	-9.258	0.674	44.5	244.273	993.319	0.0	0.08304380942250413
2016082	2.309	221.334	-10.057	0.597	51.25	235.519	989.114	0.0	0.08304380942250413
2016083	1.365	112.281	-16.981	0.813	59.0	189.528	997.5	0.0	0.08304380942250413
2016084	3.513	8.592	-4.17	0.755	31.5	287.964	985.181	0.0	0.08604380942250413
2016085	3.971	172.671	-11.295	0.885	75.0	189.108	985.915	0.0	0.08604380942250413
