	SD
2017-11-01	0.008928572
2017-11-02	0.008928572
2017-11-03	0.017857144
2017-11-04	0.008928572
2017-11-05	0.04464286
2017-11-06	0.0625
2017-11-07	0.09821428
2017-11-08	0.10714286
2017-11-09	0.14285715
2017-11-10	0.16964285
2017-11-11	0.6339286
2017-11-12	0.625
2017-11-13	0.625
2017-11-14	0.625
2017-11-15	0.77678573
2017-11-16	0.8035714
2017-11-17	0.95535713
2017-11-18	2.6339285
2017-11-19	2.6517856
2017-11-20	2.6964285
2017-11-21	3.705357
2017-11-22	3.705357
2017-11-23	3.705357
2017-11-24	5.169643
2017-11-27	6.428571
2017-11-28	6.741071
2017-11-29	6.75
2017-11-30	7.205357
2017-12-01	7.205357
2017-12-02	7.205357
2017-12-03	7.205357
2017-12-04	7.375
2017-12-05	7.866071
2017-12-06	8.0625
2017-12-07	8.0625
2017-12-08	8.0625
2017-12-09	8.133928
2017-12-10	8.133928
2017-12-12	8.633928
2017-12-13	8.946428
2017-12-14	9.008928
2017-12-15	9.026786
2017-12-16	9.169642
2017-12-17	9.232142
2017-12-18	9.232142
2017-12-19	9.294642
2017-12-20	9.330358
2017-12-21	9.330358
2017-12-22	9.6875
2017-12-23	9.803572
2017-12-24	9.866072
2017-12-25	9.892858
2017-12-26	9.928572
2017-12-27	9.928572
2017-12-28	9.982142
2017-12-29	10.026786
2017-12-30	10.026786
2018-01-01	10.026786
2018-01-02	10.098214
2018-01-03	10.267858
2018-01-04	10.267858
2018-01-05	10.267858
2018-01-06	10.267858
2018-01-07	10.339286
2018-01-08	10.428572
2018-01-09	10.428572
2018-01-10	12.455358
2018-01-11	12.473214
2018-01-12	12.473214
2018-01-13	12.473214
2018-01-14	13.008928
2018-01-15	13.017858
2018-01-16	13.017858
2018-01-17	13.017858
2018-01-18	13.017858
2018-01-19	13.026786
2018-01-20	13.089286
2018-01-21	13.133928
2018-01-22	13.410714
2018-01-23	13.544642
2018-01-24	14.0
2018-01-25	14.0
2018-01-26	14.0625
2018-01-27	15.178572
2018-01-28	15.178572
2018-01-29	15.178572
2018-01-30	15.1875
2018-02-01	18.0625
2018-02-02	18.098215
2018-02-03	18.107143
2018-02-04	18.107143
2018-02-05	18.169643
2018-02-06	18.169643
2018-02-07	18.169643
2018-02-08	18.169643
2018-02-09	18.169643
2018-02-10	18.205357
2018-02-11	18.464285
2018-02-12	18.473215
2018-02-13	18.473215
2018-02-14	18.517857
2018-02-16	19.169643
2018-02-17	19.169643
2018-02-18	19.178572
2018-02-19	19.178572
2018-02-20	19.178572
2018-02-21	19.178572
2018-02-22	19.178572
2018-02-23	19.178572
2018-02-24	19.178572
2018-02-25	19.366072
2018-02-26	19.410715
2018-02-27	19.410715
2018-02-28	19.410715
2018-03-01	19.410715
2018-03-02	19.580357
2018-03-03	19.607143
2018-03-04	19.625
2018-03-05	19.848215
2018-03-06	19.848215
2018-03-07	19.848215
2018-03-08	19.848215
2018-03-09	19.857143
2018-03-10	19.866072
2018-03-11	19.875
2018-03-12	19.875
2018-03-13	19.875
2018-03-14	19.732143
2018-03-15	19.732143
2018-03-16	19.732143
2018-03-17	19.732143
2018-03-18	19.133928
2018-03-19	19.133928
2018-03-20	19.142857
2018-03-21	19.142857
2018-03-22	18.910715
2018-03-23	18.544643
2018-03-24	18.5625
2018-03-25	18.5
2018-03-26	17.419643
2018-03-27	17.151785
2018-03-28	18.5
2018-03-29	18.544643
2018-03-30	18.544643
2018-04-01	18.589285
2018-04-02	18.607143
2018-04-03	18.607143
2018-04-04	18.607143
2018-04-05	18.607143
2018-04-06	18.633928
2018-04-07	18.633928
2018-04-08	18.633928
2018-04-09	18.633928
2018-04-10	18.633928
2018-04-11	18.169643
2018-04-12	18.169643
2018-04-13	18.169643
2018-04-14	18.169643
2018-04-15	18.169643
2018-04-16	18.169643
2018-04-17	17.098215
2018-04-18	15.830358
2018-04-19	14.401786
2018-04-20	12.232142
2018-04-21	9.303572
2018-04-22	2.6607144
2018-04-23	0.0
2018-04-24	0.0
2018-04-25	0.0
2018-04-26	0.0
2018-04-27	0.0
2018-04-28	0.0
2018-04-29	0.0
