TIME	WIND_SPEED	WIND_DIR	AIR_TEMP	REL_HUM	SOLAR_RAD	LW_RAD_IN	ATM_PRESS	RAIN	SNOW
2016001	7.561	136.221	-8.692	0.856	0.0	200.294	985.79	0.0	0.0
2016002	7.555	121.197	-7.544	0.828	0.0	222.602	985.565	0.0	0.0
2016003	5.15	118.837	-9.326	0.88	0.0	229.684	998.1	0.0	0.0
2016004	7.337	351.88	-11.562	0.846	0.0	194.833	997.613	0.0	0.0
2016005	3.531	71.94	-12.401	0.877	0.0	201.399	985.398	0.0	0.0
2016006	3.792	193.33	-8.772	0.81	0.0	261.645	994.049	0.0	0.0015
2016007	3.516	257.632	-10.438	0.856	0.0	241.208	992.604	0.0	0.0015
2016008	11.388	161.279	-14.784	0.774	0.0	245.418	992.016	0.0	0.0015
2016009	7.636	157.707	-21.193	0.68	0.0	190.732	997.694	0.0	0.0015
2016010	3.858	7.138	-24.182	0.764	0.0	150.076	993.95	0.0	0.0015
2016011	2.812	88.83	-21.034	0.779	0.0	220.091	985.866	0.0	0.0039000000000000003
2016012	4.918	110.176	-21.429	0.745	0.0	181.619	991.163	0.0	0.0039000000000000003
2016013	2.378	8.721	-18.386	0.791	0.0	225.922	983.374	0.0	0.0039000000000000003
2016014	1.82	281.832	-20.741	0.802	0.0	186.002	978.595	0.0	0.0039000000000000003
2016015	5.181	158.924	-22.035	0.774	0.0	182.553	986.969	0.0	0.0039000000000000003
2016016	7.875	145.942	-22.244	0.703	0.0	200.17	991.569	0.0	0.0039000000000000003
2016017	4.223	140.062	-23.276	0.746	0.0	193.422	996.542	0.0	0.0039000000000000003
2016018	3.183	114.788	-21.7	0.781	0.0	179.707	1000.765	0.0	0.0047
2016019	6.434	341.044	-21.628	0.758	0.0	182.361	1001.207	0.0	0.0047
2016020	4.65	337.263	-13.56	0.831	0.0	253.232	990.205	0.0	0.015099999999999999
2016021	4.341	145.862	-14.128	0.807	0.0	230.512	1002.488	0.0	0.015099999999999999
2016022	7.263	13.176	-14.08	0.773	0.0	223.698	1003.136	0.0	0.015099999999999999
2016023	10.082	5.865	-7.145	0.863	0.0	231.162	977.759	0.0	0.015099999999999999
2016024	4.076	229.927	-7.372	0.865	0.0	275.905	987.037	0.0	0.0166
2016025	2.489	101.316	-7.735	0.881	0.0	267.259	985.145	0.0	0.0236
2016026	6.486	143.677	-11.725	0.843	0.0	184.975	992.125	0.0	0.0236
2016027	9.789	1.43	-5.256	0.912	0.0	293.013	969.957	0.0	0.0448
