	SD	RH
2017-11-01	0.125	0.0022369921
2017-11-02	0.125	0.001912618
2017-11-03	0.1875	0.001147924
2017-11-04	0.125	0.0021232655
2017-11-05	0.5625	0.0016481169
2017-11-06	0.625	0.0018490534
2017-11-07	0.6875	0.0017665168
2017-11-08	0.8125	0.00071430206
2017-11-09	1.0625	0.0007485822
2017-11-10	1.125	0.0012927372
2017-11-11	3.6875	0.0021784548
2017-11-12	1.6875	0.0018672291
2017-11-13	1.5625	0.0023763822
2017-11-14	1.5625	0.0032123476
2017-11-15	1.8125	0.0012730705
2017-11-16	2.0	0.0012686346
2017-11-17	2.875	0.002097154
2017-11-18	6.125	0.0010198494
2017-11-19	6.125	0.0010586483
2017-11-20	6.25	0.001605073
2017-11-21	8.0625	0.0012168866
2017-11-22	8.0625	0.0012621637
2017-11-23	8.0625	0.0009785239
2017-11-24	8.4375	0.0024201823
2017-11-27	8.5	0.0015612692
2017-11-28	8.5625	0.0011430113
2017-11-29	8.5625	0.0022814386
2017-11-30	8.8125	0.002083093
2017-12-01	8.8125	0.0023588873
2017-12-02	8.8125	0.002107868
2017-12-03	8.8125	0.0023909677
2017-12-04	9.125	0.0025015343
2017-12-05	9.5625	0.0007948149
2017-12-06	9.6875	0.00060435385
2017-12-07	9.6875	0.0014933245
2017-12-08	9.6875	0.0016730698
2017-12-09	9.6875	0.001557121
2017-12-10	9.6875	0.0008869376
2017-12-12	10.0	0.0012652874
2017-12-13	10.25	0.0014177756
2017-12-14	10.3125	0.0011211252
2017-12-15	10.3125	0.000609735
2017-12-16	10.5	0.0007506795
2017-12-17	10.5	0.0017308611
2017-12-18	10.5625	0.0030114213
2017-12-19	10.5625	0.001105357
2017-12-20	10.625	0.00046370458
2017-12-21	10.625	0.00062347576
2017-12-22	11.0625	0.00091845915
2017-12-23	11.125	0.00048428494
2017-12-24	11.125	0.00026137475
2017-12-25	11.125	0.00020711776
2017-12-26	11.125	0.00024071895
2017-12-27	11.125	0.0002646912
2017-12-28	11.1875	0.00045704842
2017-12-29	11.25	0.00027725566
2017-12-30	11.25	0.00015759468
2017-12-31	11.25	0.00035321806
2018-01-01	11.25	0.00042564888
2018-01-02	11.3125	0.0008215904
2018-01-03	11.4375	0.00035642553
2018-01-04	11.4375	0.0002537025
2018-01-05	11.4375	0.00027419347
2018-01-06	11.5	0.00091445446
2018-01-07	11.6875	0.0021053515
2018-01-08	11.75	0.0011271555
2018-01-09	11.75	0.0013883235
2018-01-10	14.125	0.00066336803
2018-01-11	14.125	0.00024766847
2018-01-12	14.125	0.00024854485
2018-01-13	14.125	0.0003206078
2018-01-14	14.5625	0.0005068602
2018-01-15	14.5625	0.00022697449
2018-01-16	14.5625	0.0006804466
2018-01-17	14.5625	0.0010413807
2018-01-18	14.5625	0.0013123192
2018-01-19	14.5625	0.0017800238
2018-01-20	14.75	0.0009935461
2018-01-21	14.875	0.00089841895
2018-01-22	15.0	0.0007718401
2018-01-23	15.3125	0.0013528485
2018-01-24	16.0	0.0006556865
2018-01-25	16.0	0.0007154783
2018-01-26	16.3125	0.0021188762
2018-01-27	17.375	0.00055125915
2018-01-28	17.375	0.00030064024
2018-01-29	17.375	0.000385914
2018-01-30	17.375	0.0005019754
2018-01-31	20.5	0.00053065363
2018-02-01	20.8125	0.0002305368
2018-02-02	20.8125	0.00037765875
2018-02-03	20.8125	0.00022220612
2018-02-04	20.875	0.00041932706
2018-02-05	20.875	0.0005028248
2018-02-06	20.875	0.00038632937
2018-02-07	20.875	0.0004035877
2018-02-08	20.875	0.0004570447
2018-02-09	20.875	0.0005394975
2018-02-10	20.9375	0.000813961
2018-02-11	21.125	0.00049448013
2018-02-12	21.125	0.00031604338
2018-02-13	21.125	0.00102075
2018-02-14	21.3125	0.0022847624
2018-02-16	21.875	0.0006001536
2018-02-17	21.875	0.0007288456
2018-02-18	21.875	0.00038522668
2018-02-19	21.875	0.00022048503
2018-02-20	21.875	0.00048756786
2018-02-21	21.875	0.00031829998
2018-02-22	21.875	0.0006129276
2018-02-23	21.875	0.0010570884
2018-02-24	21.875	0.0010576723
2018-02-25	21.9375	0.0018842947
2018-02-26	22.0	0.0013578106
2018-02-27	22.0	0.0019316496
2018-02-28	22.0	0.0017677248
2018-03-01	22.0	0.0023289304
2018-03-02	22.0625	0.0017788233
2018-03-03	22.0625	0.0015997887
2018-03-04	22.0625	0.0011427384
2018-03-05	22.3125	0.0016358634
2018-03-06	22.5	0.0011171848
2018-03-07	22.5	0.0015099887
2018-03-08	22.5	0.0017394302
2018-03-09	22.5	0.0010633953
2018-03-10	22.5625	0.0013553249
2018-03-11	22.5625	0.0018263087
2018-03-12	22.5625	0.0013486929
2018-03-13	22.5625	0.0016077245
2018-03-14	22.4375	0.0013481379
2018-03-15	22.4375	0.00086160284
2018-03-16	22.4375	0.0011793999
2018-03-17	22.4375	0.0026607057
2018-03-18	21.9375	0.0008750446
2018-03-19	21.9375	0.00064575206
